time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{local}.l.angle,{local}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{networked}.n.steer_angle_s,{networked}.n.theta_s,{networked}.n.velocity_s,{networked}.n.x_s,{networked}.n.y_s
6.1899999999999125,0.01,0.3172898065463721,0.22467822022457104,2.258962718539768,0.023002467724906092,0.8435758051305928,4.840863997936249,0.21981474613825777,0.5702309439316117,1.7333566033282326,9.245073177474469,0.17482698993657167,0.2196535924169512,0.5351647194558263,1.7041343885690632,9.158672865696746,0.20570688841625423
6.199999999999912,0.01,0.3154279574252101,0.22467822022457104,2.259069865703583,0.02188563338840971,0.8319402767839637,4.846583024660746,0.22004477081550683,0.5809936414580686,1.7365295013936963,9.259246048379651,0.18480608016239797,0.2196535924169512,0.5351647194558263,1.7041343885690632,9.158672865696746,0.20570688841625423
6.209999999999912,0.01,0.31512554606879106,0.22157921029043895,2.2617387448416815,0.00690497763719454,0.837758040957278,4.8384032090504965,0.22026362714939093,0.5917961715533147,1.7396837809679484,9.273338396262847,0.19495296155817862,0.2196535924169512,0.5351647194558263,1.7041343885690632,9.158672865696746,0.20570688841625423
6.219999999999912,0.01,0.31094262995337,0.2231287152575049,2.2579214975568984,0.0128928964865129,0.8319402767839637,4.8373730301857,0.2203326769257629,0.6026354276276679,1.7428350364286362,9.287347810264727,0.20526733430208358,0.2196535924169512,0.5351647194558263,1.7041343885690632,9.158672865696746,0.20570688841625423
6.229999999999912,0.01,0.30876342659481426,0.22157921029043895,2.2574407474199933,0.005609400141042276,0.8203047484373349,4.8306624126434325,0.22046160589062802,0.6135088789104506,1.74594446272817,9.301271991594197,0.21574896445794947,0.2196535924169512,0.5351647194558263,1.7041343885690632,9.158672865696746,0.20570688841625423
6.239999999999911,0.01,0.30501879790325914,0.21848020035630697,2.2543091259002686,-0.00891632490444473,0.8203047484373349,4.8306624126434325,0.22051769989203845,0.6244129768982379,1.749032096994118,9.315108428931609,0.22639721353941836,0.22032790716537368,0.5879723864225767,1.7204571818597751,9.229207539158091,0.2540545155375541
6.249999999999911,0.01,0.3031662173436903,0.21848020035630697,2.2543091259002686,-0.009168747910791683,0.8203047484373349,4.825873591105143,0.220428536642994,0.6353458036810637,1.7520822849731505,9.328854703753331,0.23721161394615692,0.22032790716537368,0.5879723864225767,1.7204571818597751,9.229207539158091,0.2540545155375541
6.259999999999911,0.01,0.2999952345255497,0.21848020035630697,2.2520743425157335,-0.008767513290091636,0.8144869842640206,4.813086664676666,0.22033684916388607,0.6463050823593486,1.7551139471465875,9.342508321853149,0.24819150220223568,0.22032790716537368,0.5879723864225767,1.7204571818597751,9.229207539158091,0.2540545155375541
6.269999999999911,0.01,0.2945958978215138,0.21693069538924098,2.246107110182444,-0.01532769198590292,0.8144869842640206,4.8215822227795915,0.22024917403098515,0.6572868360712403,1.758113899491843,9.356067040478703,0.25933617115110713,0.22032790716537368,0.5879723864225767,1.7204571818597751,9.229207539158091,0.2540545155375541
6.2799999999999105,0.01,0.29517468268317965,0.21693069538924098,2.250071703963809,-0.014933153887848771,0.8028514559173918,4.805394028822581,0.22009589711112612,0.6682883145512166,1.761059858470058,9.36952850088767,0.2706448197006215,0.22032790716537368,0.5879723864225767,1.7204571818597751,9.229207539158091,0.2540545155375541
6.28999999999991,0.01,0.2888744129882879,0.213831685455109,2.242517213450538,-0.028188952452077046,0.8028514559173918,4.805394028822581,0.21994656557224762,0.6793078030279945,1.76401160529689,9.382890163822475,0.28211648680388607,0.2202646049103392,0.6418184593503733,1.7361522509145255,9.297759455781566,0.3065196467939318
6.29999999999991,0.01,0.28710336489218885,0.213831685455109,2.242517213450538,-0.027516960527123796,0.8028514559173918,4.805394028822581,0.21966467604772685,0.6903424096206732,1.7669003494267728,9.396149994455754,0.2937505138770428,0.2202646049103392,0.6418184593503733,1.7361522509145255,9.297759455781566,0.3065196467939318
