time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{mq-local}.l.angle,{mq-local}.l.distance
1.0000000000000007,0.01,1.578137377700544,-0.003099009934131978,4.881376885732015,-0.0017147196089260005,-0.0027359583502208525,2.267025142425691,-0.011635528346628732,10.460093326568604
1.0100000000000007,0.01,1.5686110459837945,-0.003099009934131978,4.881376885732015,-0.0016337321276000656,-0.0027531055463101126,2.2828065162026965,-0.011635528346628732,10.460093326568604
1.0200000000000007,0.01,1.5591422217175912,-0.003099009934131978,4.881376885732015,-0.0015565697451983948,-0.002769442867586113,2.2984926266625343,-0.011635528346628732,10.430727863311768
1.0300000000000007,0.01,1.5415082257297745,-0.003099009934131978,4.867673002878825,-0.0014830517994563923,-0.0027850085650380973,2.3140840488797103,-0.01745329251994332,10.394965953826905
1.0400000000000007,0.01,1.5221400377437069,-0.004648514901198027,4.8509841117858885,-0.008385778512719684,-0.002799839083032661,2.329499131137008,-0.01745329251994332,10.394965953826905
1.0500000000000007,0.01,1.5128909883893282,-0.004648514901198027,4.8509841117858885,-0.008319041181744147,-0.002883696868159858,2.344720531514445,-0.01745329251994332,10.394965953826905
1.0600000000000007,0.01,1.5037581481628661,-0.004648514901198027,4.8509841117858885,-0.007941681148671761,-0.0029668872799772997,2.3598494413983384,-0.01745329251994332,10.394965953826905
1.0700000000000007,0.01,1.49468080223253,-0.004648514901198027,4.8509841117858885,-0.007567324295493273,-0.0030463040914640175,2.374887022879967,-0.011635528346628732,10.388693027496338
1.0800000000000007,0.01,1.4839018339709946,-0.003099009934131978,4.848056746164958,-2.3717629200582313E-4,-0.00312197733441895,2.389833830902292,-0.01745329251994332,10.368129138946534
1.0900000000000007,0.01,1.4691758603636542,-0.004648514901198027,4.838460264841716,-0.006869419050505846,-0.0031243490973390086,2.404672849242002,-0.01745329251994332,10.330386447906497
1.1000000000000008,0.01,1.4497044958686176,-0.004648514901198027,4.820847009023032,-0.006858746117365583,-0.003193043287844067,2.4193646078456386,-0.01745329251994332,10.330386447906497
1.1100000000000008,0.01,1.4408894407064359,-0.004648514901198027,4.820847009023032,-0.006549622260092819,-0.003261630749017723,2.4338616528043246,-0.01745329251994332,10.330386447906497
1.1200000000000008,0.01,1.4321912137312243,-0.004648514901198027,4.820847009023032,-0.0062409786848113685,-0.003327126971618651,2.448270547211389,-0.01745329251994332,10.330386447906497
