time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{rabbitmq_lidar}.r_lidar.angle,{rabbitmq_lidar}.r_lidar.distance,{rabbitmq_odom}.r_odom.steer_angle_s,{rabbitmq_odom}.r_odom.theta_s,{rabbitmq_odom}.r_odom.velocity_s,{rabbitmq_odom}.r_odom.x_s,{rabbitmq_odom}.r_odom.y_s
0.3100000000000001,0.01,2.6129289180752098,-0.008674468892137443,-0.00960526329368986,0.8622029458724272,-0.040724349213201005,11.124342775344848,-0.01268351195547529,-0.0033799745505133185,0.5627528241094168,-4.5065780090207515,0.07870662012195642
0.3200000000000001,0.01,2.597494209573101,-0.008068264592519185,-0.009692007982611234,0.8883322350531793,-0.040724349213201005,11.124342775344848,-0.01268351195547529,-0.0033799745505133185,0.5627528241094168,-4.5065780090207515,0.07870662012195642
0.3300000000000001,0.01,2.58181663606465,-0.007504424114530252,-0.009772690628536427,0.9143071771489103,-0.040724349213201005,11.124342775344848,-0.014638185237299817,-0.003705049789586724,0.6233436182474392,-4.495027445466473,0.07863028546830612
0.34000000000000014,0.01,2.566231670807211,-0.006979986916016503,-0.00984773486968173,0.9401253435095568,-0.040724349213201005,11.124500141143798,-0.014638185237299817,-0.00413826094636191,0.6837992127923584,-4.482255462441008,0.07851697452096286
0.35000000000000014,0.01,2.550784833414529,-0.006492199348572032,-0.009917534738841894,0.9657876602176289,-0.040724349213201005,11.124500141143798,-0.014638185237299817,-0.00413826094636191,0.6837992127923584,-4.482255462441008,0.07851697452096286
0.36000000000000015,0.01,2.535387443389686,-0.006038500199030962,-0.009982456732327614,0.9912955085517742,-0.040724349213201005,11.12518548965454,-0.014638185237299817,-0.00413826094636191,0.6837992127923584,-4.482255462441008,0.07851697452096286
0.37000000000000016,0.01,2.5202746319722062,-0.0056165072413737836,-0.010042841734317924,1.016649382985671,-0.040724349213201005,11.12518548965454,-0.016837454978336497,-0.0046621964910135575,0.7440629367931351,-4.468276479614472,0.07837524875506682
0.38000000000000017,0.01,2.505062307311868,-0.005224004728436767,-0.010099006806731663,1.041852129305393,-0.040724349213201005,11.12518548965454,-0.016837454978336497,-0.005273853413108011,0.8039317048602683,-4.4531037432921226,0.07820593177642027
0.3900000000000002,0.01,2.4899406595200344,-0.004858931757747466,-0.01015124685401603,1.0669027523785117,-0.040724349213201005,11.123129901885989,-0.016837454978336497,-0.005273853413108011,0.8039317048602683,-4.4531037432921226,0.07820593177642027
0.4000000000000002,0.01,2.4743347211009694,-0.004519371450399076,-0.010199836171593505,1.0918021589737121,-0.040724349213201005,11.123129901885989,-0.016837454978336497,-0.005974543115840094,0.8636924716022563,-4.436717374505895,0.07800719408154688
0.4100000000000002,0.01,2.4593950771438498,-0.004203540886145491,-0.010245029886097497,1.1165455061847218,-0.040724349213201005,11.123422565460205,-0.016837454978336497,-0.005974543115840094,0.8636924716022563,-4.436717374505895,0.07800719408154688
