time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{rabbitmq}.r.angle,{rabbitmq}.r.distance
19.89000000000031,0.01,0.003778733187381933,0.009431027574940246,0.045964671233704284,4.416217406281517,0.16289739685280402,15.818336486816406
19.90000000000031,0.01,0.007104245514892416,-0.011603394701352514,0.046058981509453686,4.416255193613392,0.17453292519943298,15.80784511566162
19.910000000000313,0.01,0.0054677913245240635,0.0019177537613693334,0.04594294756244016,4.4163262360685405,0.17453292519943298,15.805684089660645
19.920000000000314,0.01,0.005095919970042041,0.0024399065229301943,0.045962125100053854,4.416380913981786,0.16289739685280402,15.806358337402344
19.930000000000316,0.01,0.005169681269978899,-0.011591937099925578,0.045986524165283156,4.416431873181486,0.17453292519943298,15.808679580688477
19.940000000000317,0.01,0.005499125176208608,0.00224381181013672,0.0458706047942839,4.416483569994186,0.16289739685280402,15.825441360473633
19.95000000000032,0.01,0.008052006016137803,-0.011180095723960778,0.045893042912385267,4.416538561245948,0.16289739685280402,15.808355331420898
19.96000000000032,0.01,0.005390512353547373,-0.011281067255416936,0.04578124195514566,4.416619081306109,0.17453292519943298,15.800551414489746
19.970000000000322,0.01,0.004144423113060869,0.0031675817557554643,0.04566843128259149,4.416672986429645,0.17453292519943298,15.80618381500244
19.980000000000324,0.01,0.004982164974071246,0.0036752297822492293,0.04570010710014904,4.416714430660775,0.17453292519943298,15.812507629394531
19.990000000000325,0.01,0.005933238063331636,0.0035326886032402485,0.04573685939797153,4.416764252310516,0.17453292519943298,15.79583740234375
20.000000000000327,0.01,0.003338621190153646,0.003367303263039044,0.04577218628400393,4.41682358469115,0.17453292519943298,15.79583740234375
20.01000000000033,0.01,0.003305988380805225,0.003208332275893233,0.04580585931663432,4.416856970903051,0.18035068937274737,15.790499687194824
20.02000000000033,0.01,0.0024656178313251067,0.010029575980853467,0.04583794263939325,4.41689003078686,0.17453292519943298,15.795821189880373
20.03000000000033,0.01,0.0032669463088049523,0.002912428676641283,0.04593823839920179,4.416914686965173,0.17453292519943298,15.810235023498535
20.040000000000333,0.01,0.005473115787929395,0.002461097757502872,0.045967362685968204,4.416947356428261,0.17453292519943298,15.815349578857422
20.050000000000335,0.01,0.006242789108500047,0.002330038467054006,0.04599197366354323,4.41700208758614,0.17453292519943298,15.803109169006348
20.060000000000336,0.01,0.004327663854600461,0.002219289067966375,0.046015274048213775,4.417064515477225,0.17453292519943298,15.800088882446287
20.070000000000338,0.01,0.003828204384254797,0.0021144373369489343,0.04603746693889344,4.417107792115771,0.17453292519943298,15.796737670898438
20.08000000000034,0.01,0.003288315654685592,0.0020145693288904365,0.04605861131226293,4.417146074159613,0.17453292519943298,15.80393886566162
20.09000000000034,0.01,0.004376244524102147,0.0019194196487277368,0.046078757005551835,4.41717895731616,0.15707963267948966,15.794171333312988
20.100000000000342,0.01,0.002853958806312429,-0.019089553026463448,0.04609795120203911,4.417222719761401,0.17453292519943298,15.80855655670166
20.110000000000344,0.01,0.005045213863285137,0.001742390144734915,0.04590705567177448,4.417251259349465,0.17453292519943298,15.812433242797852
20.120000000000346,0.01,0.0056265267486637965,0.002601420030925769,0.04592447957322183,4.417301711488098,0.17453292519943298,15.82076930999756
20.130000000000347,0.01,0.0068825324211707175,0.0025230124744126947,0.04595049377353109,4.417357976755585,0.14544410433286092,15.783286094665527
20.14000000000035,0.01,0.001079171362919551,-0.032457913185964,0.045975723898275214,4.417426802079796,0.16289739685280402,15.806520462036133
20.15000000000035,0.01,0.0046194100096768505,-0.011653131691921701,0.045651144766415575,4.417437593793426,0.17453292519943298,15.805804252624512
20.160000000000352,0.01,0.004503178317790901,0.003753019105040837,0.04553461344949636,4.417483787893523,0.17453292519943298,15.800678253173828
20.170000000000353,0.01,0.003688367647332225,0.00427741003117731,0.045572143640546764,4.417528819676701,0.18035068937274737,15.814491271972656
20.180000000000355,0.01,0.005790805061604143,0.01108129652324747,0.04561491774085854,4.417565703353174,0.17453292519943298,15.808693885803224
20.190000000000357,0.01,0.004877721569451144,0.003916040720047496,0.04572573070609101,4.41762361140379,0.17453292519943298,15.802103996276855
20.200000000000358,0.01,0.003831029154551891,0.003417382376501372,0.04576489111329149,4.417672388619484,0.17453292519943298,15.800348281860352
20.21000000000036,0.01,0.0035338216657783143,0.0032411605440992204,0.0457990649370565,4.417710698911029,0.17453292519943298,15.81286334991455
20.22000000000036,0.01,0.005440071485775278,0.003087378337156662,0.045831476542497494,4.417746037127687,0.16289739685280402,15.782605171203612
20.230000000000363,0.01,7.608759451287029E-4,-0.011004018590921961,0.045862350325869064,4.417800437842545,0.16289739685280402,15.80657958984375
20.240000000000364,0.01,0.004423016022537718,-0.011142950616094025,0.04575231013995985,4.417808046601996,0.16289739685280402,15.792876243591309
20.250000000000366,0.01,0.0023085158819640575,-0.010647769779502547,0.045640880633798904,4.417852276762221,0.15707963267948966,15.778986930847168
20.260000000000367,0.01,1.4523513124267142E-4,-0.01711910935357526,0.04553440293600388,4.41787536192104,0.17453292519943298,15.798501014709473
20.27000000000037,0.01,0.0031377072086867133,0.0042783573418934615,0.04536321184246813,4.417876814272352,0.16289739685280402,15.790167808532717
20.28000000000037,0.01,0.0018535946642450176,-0.008896827440789824,0.045405995415887065,4.41790819134444,0.18035068937274737,15.7916898727417
20.290000000000372,0.01,0.002070735162780091,0.011828963534216114,0.045317027141479164,4.417926727291082,0.17453292519943298,15.786480903625488
20.300000000000374,0.01,0.0012583591482300705,0.005256548417254682,0.045435316776821326,4.41794743464271,0.18035068937274737,15.787872314453123
20.310000000000375,0.01,0.001461247372290453,0.011697017410011942,0.04548788226099387,4.417960018234193,0.14544410433286092,15.788067817687988
20.320000000000377,0.01,0.0014844338951446546,-0.03037616137954653,0.04560485243509399,4.417974630707915,0.16289739685280402,15.797625541687012
20.33000000000038,0.01,0.0029482865304464316,-0.009984210107606192,0.045301090821298524,4.417989475046867,0.16289739685280402,15.798253059387209
20.34000000000038,0.01,0.0030367598698536114,-0.008617282845526597,0.045201248720222464,4.418018957912172,0.18035068937274737,15.783292770385742
20.35000000000038,0.01,7.166597877102721E-4,0.012750323664706818,0.0451150758917672,4.418049325510871,0.18035068937274737,15.783109664916992
20.360000000000383,0.01,6.717593662380673E-4,0.013138101392755511,0.04524257912841427,4.4180564921087475,0.18035068937274737,15.790948867797852
20.370000000000385,0.01,0.0018750549810583996,0.012564336827843692,0.045373960142341824,4.41806320970241,0.16289739685280402,15.789255142211914
20.380000000000386,0.01,0.0016105265643094225,-0.008945194790221444,0.04549960351062026,4.418081960252221,0.16289739685280402,15.795074462890623
20.390000000000388,0.01,0.0024963891464348633,-0.009510589947474411,0.04541015156271805,4.418098065517864,0.18035068937274737,15.791796684265137
20.40000000000039,0.01,0.001982753342006394,0.01181026087347669,0.045315045663243306,4.418123029409328,0.16289739685280402,15.792369842529297
20.41000000000039,0.01,0.0020572895743813826,-0.008680079634278113,0.04543314827197807,4.418142856942748,0.16289739685280402,15.790338516235352
20.420000000000393,0.01,0.0017335601817328517,-0.00921154137358456,0.04534634747563529,4.418163429838492,0.14544410433286092,15.792610168457031
20.430000000000394,0.01,0.002072079531212623,-0.029739254845432907,0.04525423206189944,4.418180765440309,0.16289739685280402,15.801679611206056
20.440000000000396,0.01,0.003459239133563186,-0.008406418428230727,0.04495683951344511,4.418201486235621,0.16289739685280402,15.79061794281006
20.450000000000397,0.01,0.0017443457631575844,-0.007068151960186238,0.044872775329162805,4.418236078626957,0.16289739685280402,15.794483184814451
20.4600000000004,0.01,0.002320567216599301,-0.006689863130915859,0.04480209380956094,4.418253522084588,0.16289739685280402,15.798301696777344
20.4700000000004,0.01,0.0028990241571878353,-0.006371796292707468,0.04473519517825178,4.418276727756754,0.1687151610261186,15.809833526611328
20.480000000000402,0.01,0.004662162831929973,9.020198999809582E-4,0.044671477215324704,4.418305717998326,0.1687151610261186,15.812091827392578
20.490000000000403,0.01,0.0049939965193780194,0.0011887507331528012,0.04468049741432451,4.4183523396266455,0.1687151610261186,15.811727523803713
20.500000000000405,0.01,0.004912251871117147,0.0011481598376536645,0.04469238492165604,4.418402279591839,0.1687151610261186,15.817020416259766
20.510000000000407,0.01,0.005699890328492697,0.001094666054661797,0.044703866520032574,4.41845140211055,0.1687151610261186,15.8082914352417
20.520000000000408,0.01,0.004328609866419298,0.0010429988619673827,0.04471481318057919,4.418508401013836,0.16289739685280402,15.806475639343262
20.53000000000041,0.01,0.004017627901252974,-0.00597903346228959,0.04472524316919886,4.4185516871125,0.1687151610261186,15.80932331085205
20.54000000000041,0.01,0.004432361959341025,9.468039407190924E-4,0.044665452834575965,4.418591863391512,0.1687151610261186,15.79613208770752
20.550000000000413,0.01,0.00237881664162658,0.001215860446522124,0.04467492087398316,4.4186361870111055,0.1687151610261186,15.797928810119627
20.560000000000414,0.01,0.0026311339023148863,0.0011732542691897628,0.044687079478448376,4.418659975177522,0.16289739685280402,15.78967571258545
20.570000000000416,0.01,0.0013470733905222244,-0.005854231802700928,0.044698812021140275,4.418686286516545,0.1687151610261186,15.812942504882812
20.580000000000418,0.01,0.004915688167853549,0.0010657441069827321,0.044640269703113265,4.41869975725045,0.1687151610261186,15.811727523803713
20.59000000000042,0.01,0.0047211721780246576,0.0013291845381042736,0.044650927144183096,4.418748914132129,0.1687151610261186,15.824455261230469
20.60000000000042,0.01,0.006654207456821393,0.0012812260532900355,0.04466421898956414,4.418796125853909,0.18035068937274737,15.780856132507324
20.610000000000422,0.01,-8.602481352175673E-5,0.01516695745266929,0.04467703125009704,4.418862667928477,0.18035068937274737,15.792723655700684
20.620000000000424,0.01,0.001704975617243454,0.015109302280271231,0.04482870082462373,4.418861807680342,0.16289739685280402,15.802373886108398
20.630000000000425,0.01,0.0031915842365054293,-0.00649152786049002,0.04497979384742644,4.418878857436514,0.18035068937274737,15.798178672790527
20.640000000000427,0.01,0.002536144019658693,0.013746870592288934,0.04491487856882154,4.4189107732788795,0.16289739685280402,15.79303741455078
20.65000000000043,0.01,0.0017268365374365935,-0.006879327709380153,0.04505234727474443,4.418936134719076,0.18035068937274737,15.78443431854248
20.66000000000043,0.01,3.880109600500781E-4,0.013420380169357982,0.044983553997650624,4.41895340308445,0.16289739685280402,15.794825553894045
20.67000000000043,0.01,0.0019787636032353897,-0.007188367139111047,0.0451177577993442,4.418957283194051,0.16289739685280402,15.794366836547852
20.680000000000433,0.01,0.00190598707164118,-0.007792284246732152,0.04504587412795309,4.418977070830083,0.16289739685280402,15.79982566833496
20.690000000000435,0.01,0.0027357639670383183,-0.007468807725472152,0.04496795128548577,4.418996130700799,0.18035068937274737,15.788735389709473
20.700000000000436,0.01,0.0010173781298195462,0.01380016212102193,0.04489326320823105,4.4190234883404695,0.18035068937274737,15.795087814331056
20.710000000000438,0.01,0.001980604819724663,0.014136258468668169,0.045031264829441274,4.419033662121768,0.16289739685280402,15.785557746887209
20.72000000000044,0.01,5.073788536580359E-4,-0.00740306588216897,0.045172627414127954,4.419053468169965,0.16289739685280402,15.791945457458496
20.73000000000044,0.01,0.0014801929551278904,-0.00803919751325903,0.04509859675530627,4.419058541958502,0.17453292519943298,15.785021781921388
20.740000000000443,0.01,4.111563387178663E-4,0.006239485155032722,0.045018204780173675,4.419073343888053,0.18035068937274737,15.79397964477539
20.750000000000444,0.01,0.0017825261569812236,0.013574021394926371,0.045080599631724005,4.419077455451441,0.18035068937274737,15.794782638549805
20.760000000000446,0.01,0.0019039258383777293,0.013293244562949884,0.04521633984567327,4.419095280713011,0.16289739685280402,15.788825988769531
20.770000000000447,0.01,9.767978783522314E-4,-0.008235903455212946,0.04534927229130277,4.419114319971395,0.18035068937274737,15.791815757751465
20.78000000000045,0.01,0.0014267507094586575,0.012084217594845445,0.04526691325675064,4.419124087950178,0.16289739685280402,15.78688144683838
20.79000000000045,0.01,6.614944405128221E-4,-0.00846348380506112,0.045387755432699094,4.419138355457273,0.17453292519943298,15.782071113586426
20.800000000000452,0.01,-8.714400919029865E-5,0.004938271106765001,0.045303120594648486,4.419144970401678,0.16289739685280402,15.792732238769531
20.810000000000453,0.01,0.001551031049584939,-0.008626416825601422,0.045352503305716135,4.419144098961587,0.16289739685280402,15.799678802490234
20.820000000000455,0.01,0.002621281154623878,-0.008848639025405846,0.04526623913746012,4.419159609272082,0.16289739685280402,15.792387962341309
20.830000000000457,0.01,0.0014899611009164817,-0.008460450268253775,0.04517775274720606,4.419185822083628,0.18035068937274737,15.789990425109863
20.840000000000458,0.01,0.001106323320923508,0.012856055543280627,0.045093148244523526,4.419200721694637,0.16289739685280402,15.780644416809082
20.85000000000046,0.01,-3.4115674345174267E-4,-0.007681541250039104,0.04522170879995633,4.419211784927847,0.18035068937274737,15.794782638549805
20.86000000000046,0.01,0.0018300446263542992,0.012658253305904425,0.04514489338745594,4.419208373360412,0.16289739685280402,15.794988632202148
20.870000000000463,0.01,0.0018636440109045971,-0.00791439439323497,0.04527147592051498,4.419226673806675,0.18035068937274737,15.796265602111816
20.880000000000464,0.01,0.002050232131548624,0.012434301263390488,0.04519233197658263,4.419245310246785,0.18035068937274737,15.78794288635254
20.890000000000466,0.01,7.582838625599831E-4,0.012790449011086075,0.045316674989216536,4.4192658125681,0.17453292519943298,15.78909969329834
20.900000000000468,0.01,9.2515585548969E-4,0.005258133102436509,0.045444579479327396,4.419273395406726,0.16289739685280402,15.79294490814209
20.91000000000047,0.01,0.0015131483801831714,-0.00926298180665652,0.04549716081035176,4.41928264696528,0.16289739685280402,15.799991607666016
20.92000000000047,0.01,0.002593251749662562,-0.009499597796266156,0.0454045309922852,4.419297778449082,0.18035068937274737,15.791802406311035
20.930000000000472,0.01,0.0013237924249043242,0.011835553440424522,0.045309535014322534,4.419323710966579,0.16289739685280402,15.8046236038208
20.940000000000474,0.01,0.00328399395678507,-0.008655281714134641,0.04542789054872678,4.4193369488908285,0.17453292519943298,15.782339096069336
20.950000000000475,0.01,-1.5510109527747674E-4,0.004757663084640422,0.045341337731585434,4.419369788830396,0.16289739685280402,15.788697242736816
20.960000000000477,0.01,8.059915247521588E-4,-0.008798393941817688,0.04538891436243184,4.419368237819444,0.18035068937274737,15.787104606628418
20.97000000000048,0.01,5.615786200824147E-4,0.011905828274764642,0.04530093042301366,4.419376297734691,0.18035068937274737,15.79957103729248
