time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{kf}.kf.steer_angle_p,{kf}.kf.theta_p,{kf}.kf.velocity_p,{kf}.kf.x_p,{kf}.kf.y_p,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
16.449999999999772,0.01,1.5790743120427744,-0.3269041688089762,0.17272974539013225,-0.34887632970401516,3.543401296890698,-12.039122587206755,-0.5684937674067585,0.16853968248380266,5.887485628423963,3.6964991902163042,-13.649689170235451,1.164626269946549,0.17677708062358544,-0.2666532466271508,3.5739443999718596,-11.985565746446367,-0.5928949626102732,0.3548836145721803,13.438113260269166
16.459999999999773,0.01,1.5447721987455838,-0.33308945771749315,0.16964134239241926,-0.3305331516718594,3.5625271668936245,-12.001504708071973,-0.5838374252978709,0.1652706407957129,5.901618301175604,3.712289933336732,-13.61732404631877,1.1467682358950402,0.17677708062358544,-0.2666532466271508,3.5739443999718596,-11.985565746446367,-0.5928949626102732,0.3432480862255516,13.443570680618286
16.469999999999775,0.01,1.536825830571081,-0.3323243148246832,0.16656886127110604,-0.3162436747540187,3.577026562010443,-11.972074883941618,-0.59559681667386,0.161939746218538,5.915529763981181,3.727737655324188,-13.58457852281927,1.1292799442214942,0.17677708062358544,-0.2666532466271508,3.5739443999718596,-11.985565746446367,-0.5928949626102732,0.33161255787892263,13.428989849090575
16.479999999999777,0.01,1.5234745645508483,-0.3312808339309902,0.1635796993729152,-0.30510647852625833,3.5881563238927225,-11.949055309707077,-0.604602622338982,0.15861650307029115,5.92922297080339,3.7431059136298988,-13.551462141822654,1.112165385729404,0.17677708062358544,-0.2666532466271508,3.5739443999718596,-11.985565746446367,-0.5928949626102732,0.3199770295322937,13.461040649414064
16.489999999999778,0.01,1.5232278336579987,-0.33027178446747363,0.1606745188314943,-0.2964213788525454,3.5966415984342257,-11.93104919372453,-0.6114942185904727,0.15530369473098124,5.942692034281969,3.758340659275407,-13.5179822048465,1.0954268670333587,0.1636921642668251,-0.1915573167409408,3.654971080273848,-11.81566399804115,-0.6531273531275066,0.3025237370123506,13.443809185028076
16.49999999999978,0.01,1.5092621762426168,-0.3362824639959699,0.1575278475223737,-0.27300324908945844,3.621678543706033,-11.878673126261965,-0.6292943619527753,0.1520009768863065,5.955933423435928,3.7735729376119873,-13.484146518892027,1.0790665856449917,0.16036786891533503,-0.1771176397099243,3.6706659079977535,-11.780657920113203,-0.6638917984452583,0.2908882086657216,13.442041826248168
16.50999999999978,0.01,1.4996279487822946,-0.33536577839852777,0.1543181677602348,-0.2515679743460395,3.644480780762826,-11.82984606815798,-0.6451095057198464,0.1486381522463468,5.968940565449996,3.7886655593744134,-13.449961723273365,1.0630858153238185,0.16036786891533503,-0.1771176397099243,3.6706659079977535,-11.780657920113203,-0.6638917984452583,0.27925268031909267,13.428645887374875
16.519999999999783,0.01,1.486821512840317,-0.3341786122223032,0.15119667473862888,-0.23488533082722865,3.662001333995554,-11.791697452031757,-0.6572041011495081,0.14528449446236152,5.981711675207533,3.8036618388622365,-13.415435696157202,1.0474860677728814,0.16036786891533503,-0.12156982502420656,3.732240025291427,-11.638043750976014,-0.7024256638928545,0.2617993877991496,13.422696180343628
16.529999999999784,0.01,1.4761578271788742,-0.34000546924976033,0.1481638272238992,-0.20953334022211897,3.689507428489537,-11.729779267380964,-0.6742003129956042,0.1419427083401385,5.994243124747265,3.8185300539906395,-13.380575949626905,1.0322682357891475,0.16036786891533503,-0.12156982502420656,3.732240025291427,-11.638043750976014,-0.7024256638928545,0.2501638594525206,13.367686491012574
16.539999999999786,0.01,1.4518341850891368,-0.3389129764033509,0.14514902917000796,-0.18982135429819708,3.7106422027867056,-11.681436814713056,-0.68718387077999,0.1385426536476409,6.006532682148512,3.833291632262428,-13.345390263827262,1.0174329841184886,0.16036786891533503,-0.12156982502420656,3.732240025291427,-11.638043750976014,-0.7024256638928545,0.23852833110589167,13.368180112838743
16.549999999999788,0.01,1.4431154522373912,-0.33755827499070584,0.14221931981031452,-0.17447884210507364,3.7267529615244284,-11.643694659530672,-0.6970938206602111,0.13515352388360738,6.018577917345956,3.8478099741133196,-13.309886188823238,1.0029805403145502,0.14366857916135511,-0.09512390161872757,3.7621064612177215,-11.565111036168926,-0.7190235797582178,0.2268928027592629,13.404508876800538
16.55999999999979,0.01,1.444576501036159,-0.336252735756149,0.13896285830887484,-0.15665193431419294,3.7459516982210577,-11.597842551075633,-0.7079492408126569,0.1317779411337003,6.030379406877992,3.8622411286356937,-13.27407252942315,0.988911213391665,0.14366857916135511,-0.09512390161872757,3.7621064612177215,-11.565111036168926,-0.7190235797582178,0.2094395102393196,13.354173831939695
16.56999999999979,0.01,1.4218239957616983,-0.34198093043695826,0.13579952901116246,-0.14277177641227579,3.760764652208512,-11.56205157370972,-0.7162160002200328,0.12841541377613883,6.041933542037314,3.8766868936460552,-13.237956586164996,0.9752243840968162,0.14366857916135511,-0.09512390161872757,3.7621064612177215,-11.565111036168926,-0.7190235797582178,0.20362174606600525,13.35780499458313
