time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.x,{model}.m.y,{odom}.o.velocity_s,{rabbit}.r.angle,{rabbit}.r.distance
12.519999999999778,0.01,7.51,0.031437414880829614,-0.1927251108433139,18.062061271771487,6.645347844509912,0.0,-0.4886921905584123,76.71461791992188
12.529999999999777,0.01,7.51,0.03128334680488466,-0.1924107366945056,18.126094574374342,6.617068237762805,0.0,-0.4828744263850977,76.65235870361329
12.539999999999777,0.01,7.51,0.03190091221401353,-0.19209790322645676,18.18993974945276,6.588366432606918,0.0,-0.4828744263850977,76.61074523925781
12.549999999999777,0.01,7.51,0.031744495479989115,-0.19177889410431662,18.25359430818703,6.559244324984956,0.0,-0.47705666221178333,76.54501556396484
12.559999999999777,0.01,7.51,0.03235974340245204,-0.19146144914951674,18.31705578421784,6.529703826343412,0.0,-0.47705666221178333,76.49094024658203
12.569999999999776,0.01,7.51,0.0322010209250521,-0.19113785171549222,18.380321736568487,6.499746869335636,0.0,-0.47123889803846897,76.42800857543945
12.579999999999776,0.01,7.51,0.032813974691572836,-0.1908158415062417,18.443389747031954,6.469375401538052,0.0,-0.4654211338651546,76.36884704589843
12.589999999999776,0.01,7.51,0.03342772207048057,-0.19048770175932597,18.50625742314863,6.4385913910831265,0.0,-0.4654211338651546,76.32738891601562
12.599999999999776,0.01,7.51,0.03326365219702271,-0.19015342453862116,18.56892239549225,6.407396820382876,0.0,-0.45960336969184,76.25004257202148
12.609999999999776,0.01,7.51,0.033871266070203326,-0.18982078801665095,18.63138232070323,6.375793691698538,0.0,-0.45960336969184,76.19040008544921
12.619999999999775,0.01,7.51,0.03370494780921822,-0.1894820753559489,18.693634881661644,6.343784026687495,0.0,-0.4537856055185257,76.14031753540038
12.629999999999775,0.01,7.51,0.03431034396240019,-0.18914502587785673,18.755677784655727,6.311369860215611,0.0,-0.4537856055185257,76.08356796264648
12.639999999999775,0.01,7.51,0.034141819223354096,-0.1888019224382327,18.81750876254315,6.278553245925209,0.0,-0.4479678413452113,76.02070617675781
12.649999999999775,0.01,7.51,0.03474501998707509,-0.18846050424599917,18.879125571834567,6.245336250083547,0.0,-0.4421500771718967,75.95818969726562
12.659999999999775,0.01,7.51,0.03534906337449134,-0.1881130540461284,18.940525995907624,6.211720957080976,0.0,-0.4421500771718967,75.90684982299804
12.669999999999774,0.01,7.51,0.03517533827455596,-0.1877595634123835,19.001707841992033,6.17770946329279,0.0,-0.43633231299858233,75.84886154174805
12.679999999999774,0.01,7.51,0.035773345441216506,-0.18740781002963794,19.062668944436574,6.143303882513701,0.0,-0.43633231299858233,75.78591217041016
12.689999999999774,0.01,7.51,0.03559746874984372,-0.18705007657522577,19.12340716484414,6.10850634550715,0.0,-0.43633231299858233,75.7211343383789
