time,step-size,{controller}.c.acceleration,{controller}.c.desired_angle,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{rabbitmq_lidar}.r_lidar.angle,{rabbitmq_lidar}.r_lidar.distance
2.7299999999999858,0.01,0.4911373448120338,-0.006198019868264017,-0.013703050922516093,-0.004236655567174956,4.591906595736142,-0.02327105669325769,11.58328592300415
2.7399999999999856,0.01,0.48817610099947667,-0.006198019868264017,-0.012748867957078896,-0.004373686076400117,4.596817969184262,-0.02327105669325769,11.575902967453002
2.7499999999999853,0.01,0.4831620493762834,-0.006198019868264017,-0.01185816964711535,-0.004501174755970906,4.601699730194257,-0.02327105669325769,11.552645826339722
2.759999999999985,0.01,0.473720993258568,-0.006198019868264017,-0.011029493229905223,-0.0046197564524420595,4.606531350688019,-0.02327105669325769,11.542871913909911
2.769999999999985,0.01,0.46808532548196324,-0.006198019868264017,-0.010258712202842723,-0.004730051384741112,4.611268560620605,-0.02327105669325769,11.537482471466063
2.7799999999999847,0.01,0.4637339556381345,-0.006198019868264017,-0.009541795142898882,-0.00483263850676954,4.615949413875424,-0.02327105669325769,11.526723766326905
2.7899999999999845,0.01,0.45791300624627895,-0.006198019868264017,-0.008874978849714103,-0.004928056458198529,4.620586753431805,-0.02327105669325769,11.520996446609496
2.7999999999999843,0.01,0.4535269529915757,-0.006198019868264017,-0.008254762165425674,-0.0050168062466956695,4.625165883494268,-0.02327105669325769,11.502823886871338
2.809999999999984,0.01,0.44569115822741395,-0.006198019868264017,-0.007677888540194259,-0.005099353868349926,4.629701153024183,-0.02327105669325769,11.506723489761352
2.819999999999984,0.01,0.44406188531866864,-0.006198019868264017,-0.007141328999441593,-0.005176132753751868,4.634158064606457,-0.02908882086657205,11.474591388702391
2.8299999999999836,0.01,0.4323907500727953,-0.007747524835330005,-0.016714048530257892,-0.005247546043746284,4.6385986834596435,-0.02908882086657205,11.482287187576294
2.8399999999999834,0.01,0.4318812024455763,-0.007747524835330005,-0.016249862145294187,-0.005414686529048863,4.642922590960372,-0.02908882086657205,11.462484397888185
2.849999999999983,0.01,0.42374207683246873,-0.007747524835330005,-0.015163448990827425,-0.005577185150501805,4.647241402984828,-0.02908882086657205,11.462484397888185
2.859999999999983,0.01,0.42115078961779506,-0.007747524835330005,-0.014107207951383304,-0.005728819640410079,4.651478823753153,-0.02908882086657205,11.447679319381711
2.869999999999983,0.01,0.4144629151749873,-0.007747524835330005,-0.013121583766979522,-0.005869891719923912,4.655690331649331,-0.02908882086657205,11.42629280090332
