time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
5.7199999999999225,0.01,-0.07639919375971331,-0.06550365475688565,0.009220500667042964,1.5909651185581057,2.823157129132957,1.5909651185581057,12.138663084945472,0.0,1.670536372114361,2.7675302163369104,9.97217836927285,3.362423943057212,-0.01745329251994332,5.739689302444458
5.729999999999922,0.01,-0.08678127279532584,-0.06241057005708446,0.008565464119474108,1.59066076206505,2.82239313719536,1.59066076206505,12.166893015598992,0.0,1.670536372114361,2.7675302163369104,9.97217836927285,3.362423943057212,-0.01745329251994332,5.711511421203613
5.739999999999922,0.01,-0.09421268438020433,-0.059462905593024605,0.007941358418903264,1.5903542741292518,2.8215253244674066,1.5903542741292518,12.19511528282248,0.0,1.670536372114361,2.7675302163369104,9.97217836927285,3.362423943057212,-0.01745329251994332,5.688592948913574
5.749999999999922,0.01,-0.10010916898464303,-0.05665442994045581,0.007346729362973018,1.5900459822813482,2.8205831976236047,1.5900459822813482,12.223328851753006,0.0,1.670536372114361,2.7675302163369104,9.97217836927285,3.362423943057212,-0.01745329251994332,5.65227765083313
5.759999999999922,0.01,-0.10971217634088627,-0.0539785991887697,0.00678018506356846,1.589736192637449,2.8195821059337582,1.589736192637449,12.251532982440695,0.0,1.6762859122565712,2.765813702455525,9.959511400653271,3.4999747004280746,-0.01745329251994332,5.65227765083313
5.769999999999921,0.01,-0.10911152132697843,-0.05142914984144919,0.006240399071680763,1.5894251950658245,2.8184849841703494,1.5894251950658245,12.279727088309132,0.0,1.6762859122565712,2.765813702455525,9.959511400653271,3.4999747004280746,-0.01745329251994332,5.599373531341553
5.779999999999921,0.01,-0.12326640172657485,-0.049000112877954555,0.005726107573266271,1.589113273107324,2.8173938689570797,1.589113273107324,12.307910212076578,0.0,1.6762859122565712,2.765813702455525,9.959511400653271,3.4999747004280746,-0.01745329251994332,5.58353741645813
5.789999999999921,0.01,-0.12704584476597133,-0.04668580113508934,0.005236106444486725,1.5888006897366826,2.8161612049398137,1.5888006897366826,12.336082416692477,0.0,1.6789317866048945,2.7640784693776586,9.951461003757595,3.5821850340280865,-0.011635528346628732,5.553397483825684
5.799999999999921,0.01,-0.13474542749269683,-0.03750802370378416,0.004769248433135831,1.5884877179123376,2.814890746492154,1.5884877179123376,12.364242289594499,0.0,1.6797031308278232,2.7632082571273977,9.948691805486536,3.609763556385068,-0.011635528346628732,5.534575920104981
5.809999999999921,0.01,-0.13925319026589777,-0.035407162652705146,0.00439416819609799,1.5881746141790622,2.813543292217227,1.5881746141790622,12.392389455660036,0.0,1.6804160094315848,2.76220867172159,9.945904333131525,3.637212937924797,-0.011635528346628732,5.496808319091797
