time,step-size,{controller}.c.acceleration,{controller}.c.desired_angle,{controller}.c.steer_angle_vel,{lidar}.l.angle,{lidar}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s
0.8500000000000005,0.01,1.5409201048310346,-0.004648514901198027,0.0017930644373942207,-0.01745329251994332,9.242667484283448,-0.005028154161554077,0.7293021816533133,1.7657739911905554,0.7293021816533133,0.28698789955130677,-0.006169643778972639,0.03201154995125598,1.7741067568358062,-0.3036774692351418,-0.25056373858391157
0.8600000000000005,0.01,1.5284825008850318,-0.004648514901198027,0.0017083766716022263,-0.01745329251994332,9.221754989624024,-0.005010223517180135,0.7424819268104286,1.781183192238866,0.7424819268104286,0.29873907380709913,-0.006169643778972639,0.03140566394206513,1.8093765025216728,-0.26803597115940686,-0.2494782420661528
0.8700000000000006,0.01,1.513381481751407,-0.004648514901198027,0.0016276887719194853,-0.01745329251994332,9.21053174972534,-0.0049931397504641125,0.7556189341207012,1.7964680172477163,0.7556189341207012,0.31076739020471966,-0.006126864211975919,0.031101282796974872,1.826901597552876,-0.24991460843778163,-0.2489333502699284
0.8800000000000006,0.01,1.5010680795744655,-0.004648514901198027,0.0015508118216973842,-0.01745329251994332,9.196177282333371,-0.0049768628627449175,0.7687077866274095,1.8116018320652303,0.7687077866274095,0.3230723352983409,-0.005937655821633997,0.03079814017155007,1.8441920477145572,-0.23172120420332404,-0.2483910207750356
0.8900000000000006,0.01,1.4879685398142055,-0.004648514901198027,0.0014775658269610067,-0.01745329251994332,9.196177282333371,-0.004961354744527944,0.7817429824213903,1.826612512860975,0.7817429824213903,0.33565302647199247,-0.005937655821633997,0.03049215367437382,1.8614798448748504,-0.2132113145990878,-0.24784405635286352
0.9000000000000006,0.01,1.478962131336759,-0.004648514901198027,0.0014077792949846258,-0.01745329251994332,9.177591123580932,-0.004946579086258334,0.7947193407751629,1.841492198259117,0.7947193407751629,0.348508587567818,-0.005937655821633997,0.03049215367437382,1.8614798448748504,-0.2132113145990878,-0.24784405635286352
0.9100000000000006,0.01,1.4648301956471907,-0.004648514901198027,0.0013412888327713822,-0.011635528346628732,9.151420097351076,-0.004932501293308488,0.8076317453961509,1.8562818195724846,0.8076317453961509,0.36163791194224065,-0.005937655821633997,0.03049215367437382,1.8614798448748504,-0.2132113145990878,-0.24784405635286352
0.9200000000000006,0.01,1.4486285355148107,-0.003099009934131978,0.008250711116294296,-0.01745329251994332,9.144826307296752,-0.004919088404980775,0.8204754916466338,1.8709301215289564,0.8204754916466338,0.3750400163150897,-0.005937655821633997,0.03049215367437382,1.8614798448748504,-0.2132113145990878,-0.24784405635286352
0.9300000000000006,0.01,1.4379932931257167,-0.004648514901198027,0.0012175807670223651,-0.011635528346628732,9.140221796035767,-0.0048365812938178316,0.8332456439793074,1.8854164068841046,0.8332456439793074,0.3887133904913765,-0.005812376282117088,0.02926831551186888,1.929584337110299,-0.1377247254500545,-0.2456632251127349
0.9400000000000006,0.01,1.4280122587595525,-0.003099009934131978,0.00781907111858634,-0.011635528346628732,9.156938371658326,-0.004824405486147608,0.8459372707522881,1.899796339815362,0.8459372707522881,0.40265620629702126,-0.005812376282117088,0.02926831551186888,1.929584337110299,-0.1377247254500545,-0.2456632251127349
