time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{rabbit}.r.angle,{rabbit}.r.distance
0.22000000000000006,0.01,2.3554947041686005,0.1029751786257538,0.022861825592716073,0.5229015711065276,0.05299406717138516,4.031502692011037E-4,0.8552113334772216,11.165181732177734
0.23000000000000007,0.01,2.3437582852882075,0.10245770228299347,0.02389157737897361,0.5464565181482136,0.05822268467450265,4.67681755011762E-4,0.8552113334772216,11.164519414901733
0.24000000000000007,0.01,2.331826271069631,0.10194282638986471,0.024916154401803545,0.5698941010010957,0.063686782252456,5.391679863521133E-4,0.8552113334772216,11.164519414901733
0.25000000000000006,0.01,2.3201074796431898,0.10143053787844974,0.025935582665702193,0.593212363711792,0.06938517736524265,6.180462099249147E-4,0.8552113334772216,11.164196834564208
0.26000000000000006,0.01,2.3083730795424193,0.10092082374650041,0.02694988804448669,0.6164134385082238,0.07531666677142104,7.047887626117884E-4,0.8552113334772216,11.163456563949586
0.2700000000000001,0.01,2.2965998123341245,0.10041367105710816,0.027959096281951694,0.639497169303648,0.0814800675499874,7.998863972868333E-4,0.8552113334772216,11.16570939064026
0.2800000000000001,0.01,2.28558360649757,0.09990906693837566,0.028963232992522774,0.6624631674269892,0.08787419412831467,9.038491553631766E-4,0.8552113334772216,11.164936656951904
0.2900000000000001,0.01,2.2739203029086164,0.09940699858309013,0.029962323661906532,0.6853190034919648,0.0944978558671167,0.0010172069502868625,0.8552113334772216,11.166629676818848
0.3000000000000001,0.01,2.262887422845082,0.09890745324839824,0.030956393647737432,0.708058206521051,0.10134993654846249,0.0011405114151283589,0.8552113334772216,11.162885389328004
0.3100000000000001,0.01,2.250644154249342,0.0984104182554828,0.03194546818022141,0.7306870807495018,0.1084292538781934,0.0012743341604013645,0.8552113334772216,11.165982828140258
0.3200000000000001,0.01,2.240052452857976,0.09791588098924081,0.03292957236277624,0.7531935222919952,0.11573468711135186,0.0014192695711427008,0.8552113334772216,11.166650638580322
0.3300000000000001,0.01,2.228955054522744,0.09742382889796339,0.03390873117266865,0.775594046820575,0.12326499289068521,0.0015759318576097875,0.8552113334772216,11.165331497192383
0.34000000000000014,0.01,2.2174469926012685,0.09693424949301718,0.03488296946164828,0.7978835973658024,0.13101909127067626,0.0017449610260154103,0.8552113334772216,11.16378538131714
0.35000000000000014,0.01,2.2059414569577647,0.09644713034852737,0.03585231195657845,0.8200580672918151,0.13899584990939967,0.0019270190225189189,0.8552113334772216,11.204302940368652
