time,step-size,{controller}.c.acceleration,{controller}.c.desired_angle,{controller}.c.steer_angle_vel,{kf}.kf.steer_angle_p,{kf}.kf.theta_p,{kf}.kf.velocity_p,{kf}.kf.x_p,{kf}.kf.y_p,{lidar}.l.angle,{lidar}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s
4.279999999999953,0.01,0.6430388683197831,0.38427723183236967,0.11950829184373463,0.13937015288580903,0.2544888779450075,0.1582729231777733,10.17483544277939,0.2508754586500605,1.4428055149819792,8.47882290840149,0.3590473435669079,1.6084684267412692,2.891075431111155,1.6084684267412692,9.575849302582446,0.01705082376613376,0.2546609021943063,-0.07639466865128952,10.16406713457881,0.24818630392379704
4.289999999999953,0.01,0.6394251556857242,0.38427723183236967,0.11353449719457809,0.1375157169343343,0.2546783079462037,0.11146006599884482,10.172845235093222,0.2503747199187982,1.4428055149819792,8.47991195678711,0.3602424264853452,1.609761894300857,2.897505819794353,1.609761894300857,9.604731107521019,0.01705082376613376,0.25456142582663593,-0.0979803087148241,10.161641850127614,0.2475550512281233
4.299999999999953,0.01,0.6358718560237789,0.38427723183236967,0.10815662406161006,0.1356488016470982,0.25480388108537844,0.0701856713905176,10.170488499386899,0.24978010927810662,1.4428055149819792,8.476479349136353,0.361377771457291,1.6110732161528274,2.9039000713512104,1.6110732161528274,9.633676477316113,0.01705082376613376,0.25456142582663593,-0.0979803087148241,10.161641850127614,0.2475550512281233
4.3099999999999525,0.01,0.6310741749474525,0.38427723183236967,0.10304757168785403,0.13377552945092272,0.254901718652273,0.03800076418617012,10.168479346066494,0.24927531464575753,1.4428055149819792,8.478936443328857,0.3624593376979071,1.6124017291145425,2.910258789911448,1.6124017291145425,9.662685072865534,0.01705082376613376,0.25456142582663593,-0.0979803087148241,10.161641850127614,0.2475550512281233
4.319999999999952,0.01,0.6279469301852113,0.38427723183236967,0.0981805236050815,0.13189867735338912,0.25497791778148216,0.012888451585984742,10.16677922618358,0.24884972068364733,1.4428055149819792,8.48131727218628,0.36348981341478565,1.6137467251189046,2.9165695316609224,1.6137467251189046,9.691756564195941,0.01705082376613376,0.25456142582663593,-0.0979803087148241,10.161641850127614,0.2475550512281233
4.329999999999952,0.01,0.6248271172156049,0.38427723183236967,0.09354338287912811,0.13002069574047467,0.25503724193708244,-0.006700195322878442,10.1653498951554,0.24849297480367882,1.4428055149819792,8.47857442855835,0.36447161865083644,1.6151074487707646,2.9228490009627746,1.6151074487707646,9.720890499983001,0.025006926489115955,0.25439720709746916,-0.11979849387438436,10.158588956426408,0.24676083667402832
4.339999999999952,0.01,0.6202914394186733,0.38427723183236967,0.08912525931689955,0.1283402875614499,0.2550470949286975,-0.026810170330088458,10.163405211252014,0.24800199616528634,1.4428055149819792,8.478643674850463,0.36540705247962774,1.616483136517318,2.9290972721349307,1.616483136517318,9.750086597521317,0.025006926489115955,0.25439720709746916,-0.11979849387438436,10.158588956426408,0.24676083667402832
4.349999999999952,0.01,0.6165618656771714,0.38427723183236967,0.0849158070873387,0.12665827722081563,0.25505470744243747,-0.04251057002732697,10.161806523006698,0.24759951179109263,1.4428055149819792,8.480917558670043,0.36629830507279676,1.6178729972551869,2.9353001865291173,1.6178729972551869,9.77934457711821,0.025006926489115955,0.25439720709746916,-0.11979849387438436,10.158588956426408,0.24676083667402832
4.3599999999999515,0.01,0.6134768045101417,0.38427723183236967,0.0809051704180781,0.12497673935475527,0.25506057201546845,-0.054769483857321194,10.160496019859254,0.2472703796170002,1.4428055149819792,8.483288908004761,0.36714746314367014,1.6192762136083687,2.941465805185889,1.6192762136083687,9.808664019513486,0.025006926489115955,0.25439720709746916,-0.11979849387438436,10.158588956426408,0.24676083667402832
4.369999999999951,0.01,0.6104414111297995,0.38427723183236967,0.07708395909914789,0.12329760287669508,0.2550650715194137,-0.06434240649512035,10.159424350662704,0.24700183199915784,1.4428055149819792,8.505966625213624,0.3679565148478509,1.6206919767904115,2.9476005732309907,1.6206919767904115,9.838044586610126,0.025006926489115955,0.25439720709746916,-0.11979849387438436,10.158588956426408,0.24676083667402832
4.379999999999951,0.01,0.6131103111212203,0.38427723183236967,0.07344322643033441,0.1216226571250991,0.2550685083063847,-0.0718225622405809,10.158549529775796,0.24678315681397203,1.4428055149819792,8.504482526779174,0.3687273544388424,1.6221194807637913,2.9537049873422885,1.6221194807637913,9.867486005501496,0.03424084460534971,0.25391717443811673,-0.15673442238214363,10.152076702056087,0.2450686830850141
4.389999999999951,0.01,0.6090321150927959,0.38427723183236967,0.06997444827087265,0.12018153760791131,0.25496501111008407,-0.08580112119560605,10.156270667528672,0.246200927664565,1.4428055149819792,8.491333627700806,0.3694617867031458,1.6235579175315937,2.959836090453501,1.6235579175315937,9.896988009075661,0.03424084460534971,0.25391717443811673,-0.15673442238214363,10.152076702056087,0.2450686830850141
4.399999999999951,0.01,0.6016717614841253,0.38427723183236967,0.06666950308150751,0.11874216599183646,0.25488428056358114,-0.09671851436777835,10.154438133985515,0.24573373735218756,1.4428055149819792,8.48946873664856,0.3701615311858545,1.6250065183330806,2.965926411604429,1.6250065183330806,9.926550900070167,0.03424084460534971,0.25391717443811673,-0.15673442238214363,10.152076702056087,0.2450686830850141
4.40999999999995,0.01,0.5974953992989395,0.38427723183236967,0.06352065290931833,0.11730609686025106,0.2548212883938798,-0.10527746109744122,10.152965932417214,0.24535920773824274,1.4428055149819792,8.490588598251342,0.37082822621666955,1.6264644276653466,2.97194312921927,1.6264644276653466,9.956174310547087,0.03424084460534971,0.25391717443811673,-0.15673442238214363,10.152076702056087,0.2450686830850141
4.41999999999995,0.01,0.5941989299788141,0.38427723183236967,0.06052052527065052,0.11587477281434137,0.25477212190717374,-0.11197490217212196,10.151784176722105,0.2450591642078534,1.4428055149819792,8.494176588058473,0.3714634327457627,1.6279308119882006,2.977918083212259,1.6279308119882006,9.985857543412614,0.043064263654358115,0.2530728696580677,-0.19399793883752636,10.143767512110395,0.24291510153539983
4.42999999999995,0.01,0.5916185947290169,0.38427723183236967,0.05766209588973131,0.11466737226633558,0.25454712887565417,-0.12546748641202837,10.148870201159797,0.24431212446895934,1.4428055149819792,8.49257258415222,0.37206863799846923,1.6294049268744293,2.9838600725120474,1.6294049268744293,10.015600216398317,0.043064263654358115,0.2530728696580677,-0.19399793883752636,10.143767512110395,0.24291510153539983
4.43999999999995,0.01,0.5876042800553933,0.38427723183236967,0.05493867225255197,0.11346190530064992,0.25437170060869224,-0.1359922531727119,10.14654511580301,0.24371730142947715,1.4428055149819792,8.49257773399353,0.37264525895736655,1.630886056717473,2.9897762584593375,1.630886056717473,10.045402034255979,0.043064263654358115,0.2530728696580677,-0.19399793883752636,10.143767512110395,0.24291510153539983
