time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{mq-local}.l.angle,{mq-local}.l.distance
0.23000000000000007,0.01,2.2460574874657175,-0.001549504967065989,4.251591176350912,-0.002530559025906374,-0.0010137185575833688,-1.1729659348011021E-4,0.5307590106645008,0.057026630569957,-2.2435745099761805E-5,-0.005817764173314366,9.110552520751954
0.24000000000000007,0.01,2.2324992994118467,-0.001549504967065989,4.251591176350912,-0.002411038842671791,-0.0010390241478424327,-1.3223016319819609E-4,0.553219585539158,0.06233421976706222,-2.5542983088007502E-5,-0.005817764173314366,9.110552520751954
0.25000000000000006,0.01,2.2190229544870523,-0.001549504967065989,4.251591176350912,-0.0022971636865060036,-0.0010631345362691505,-1.4820663990451974E-4,0.5755445785332765,0.06786641459125743,-2.892078704243433E-5,-0.005817764173314366,9.12670401573181
0.26000000000000006,0.01,2.210150377284941,-0.001549504967065989,4.259128540674845,-0.002188666938585774,-0.0010861061731342106,-1.6522331991964252E-4,0.5977348080781469,0.07362185921233738,-3.258160479168937E-5,-0.005817764173314366,9.12456844329834
0.2700000000000001,0.01,2.1962382792766473,-0.001549504967065989,4.258131940205892,-0.002085294572693003,-0.0011079928425200684,-1.8328760451766398E-4,0.6198363118509963,0.07959920598379482,-3.6537937601637246E-5,-0.005817764173314366,9.11939474105835
0.2800000000000001,0.01,2.1815287403857404,-0.001549504967065989,4.25571754582723,-0.001986804560456643,-0.0011288457882469983,-2.0240472461150147E-4,0.6417986946437628,0.08579756763498446,-4.080290725112832E-5,-0.005817764173314366,9.11939474105835
0.2900000000000001,0.01,2.1683513107100807,-0.001549504967065989,4.25571754582723,-0.0018929663046854583,-0.0011487138338515648,-2.2258043761025714E-4,0.6636139820476202,0.09221555294242399,-4.538964183531904E-5,-0.005817764173314366,9.11939474105835
0.3000000000000001,0.01,2.1552621382677657,-0.001549504967065989,4.25571754582723,-0.001803560099464909,-0.0011676434968984194,-2.4381774335535054E-4,0.685297495154721,0.09885169093763004,-5.031158176753387E-5,-0.005817764173314366,9.11939474105835
0.3100000000000001,0.01,2.1422520304035055,-0.001549504967065989,4.25571754582723,-0.0017183766157540634,-0.0011856790978930685,-2.6611784824725587E-4,0.7068501165373987,0.10570466386203764,-5.5582622437832807E-5,-0.005817764173314366,9.10986086845398
0.3200000000000001,0.01,2.1266509732446752,-0.001549504967065989,4.251268405278524,-0.0016372164112781428,-0.0012028628640506091,-2.894812254075248E-4,0.7282726368414337,0.11277316278178992,-6.121701276013761E-5,-0.005817764173314366,9.091225719451904
0.3300000000000001,0.01,2.108579619341673,-0.001549504967065989,4.242572002410888,-0.0015598894635692098,-0.0012192350281633906,-3.139073668282404E-4,0.7495391465738804,0.12005588666841421,-6.722936583564257E-5,-0.005817764173314366,9.092084274291992
0.34000000000000014,0.01,2.0960601088574293,-0.001549504967065989,4.242972661336263,-0.001486214725061693,-0.0012348339227990827,-3.393951322610985E-4,0.7706249427672972,0.1275512753974653,-7.363444851677582E-5,-0.005817764173314366,9.092084274291992
0.35000000000000014,0.01,2.0834086311413795,-0.001549504967065989,4.242972661336263,-0.001416019699201079,-0.0012496960700496996,-3.659419889084652E-4,0.7915855438558715,0.1352575218137322,-8.044717801767585E-5,-0.005817764173314366,9.092084274291992
0.36000000000000015,0.01,2.0708322704882347,-0.001549504967065989,4.242972661336263,-0.001349140036573303,-0.0012638562670417104,-3.935429008158815E-4,0.8124196301672854,0.1431733739449242,-8.768328629044283E-5,-0.005817764173314366,9.084421424865722
0.37000000000000016,0.01,2.056186220862031,-0.001549504967065989,4.239396664937337,-0.001285419150109254,-0.0012773476674074434,-4.2219353201219636E-4,0.8331279528721677,0.15129756662076307,-9.535882930337158E-5,-0.005817764173314366,9.07981017112732
0.38000000000000017,0.01,2.042470076192349,-0.001549504967065989,4.237244746526083,-0.0012247078484634555,-0.001290201858908536,-4.518891793691111E-4,0.853689815080788,0.15962884218133253,-1.0349022247164653E-4,-0.005817764173314366,9.063519992828368
0.3900000000000002,0.01,2.02557170894347,-0.001549504967065989,4.229642663319905,-0.0011668639867085388,-0.0013024489373931706,-4.8262492974357425E-4,0.8741145158427115,0.16816573599651088,-1.1209403771100426E-4,-0.005817764173314366,9.0588445854187
0.4000000000000002,0.01,2.0120077744116096,-0.001549504967065989,4.227460806528727,-0.0011117521335276834,-0.001314117577260256,-5.143945603757304E-4,0.8943702329321462,0.17690687642517175,-1.2118728378672916E-4,-0.005817764173314366,9.0588445854187
0.4100000000000002,0.01,1.9998543441579484,-0.001549504967065989,4.227460806528727,-0.001059243254125799,-0.0013252350985955327,-5.47191921447573E-4,0.9144903106762623,0.18585057360258908,-1.3078697999505018E-4,-0.005817764173314366,9.0588445854187
0.4200000000000002,0.01,1.9877822975114787,-0.001549504967065989,4.227460806528727,-0.0010092144081170536,-0.0013358275311367907,-5.810089032797139E-4,0.9344888541178418,0.1949954711055702,-1.409108155441427E-4,-0.005817764173314366,9.057247495651245
0.4300000000000002,0.01,1.9753359863116433,-0.001549504967065989,4.226715497970581,-9.615484616813926E-4,-0.0013459196752179613,-6.158373738621658E-4,0.9543666770929565,0.2043403535596582,-1.5157694537186301E-4,-0.005817764173314366,9.04587908744812
