time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
7.789999999999878,0.01,1.923787576201732,-0.17589940661669304,0.21566244580212765,3.16480905899153,0.0,2.442023249748094,3.01798345117509,8.730505632611017,8.465980414855196,0.6574073515845309,13.51849886894226
7.799999999999878,0.01,1.8862942479089149,-0.1825577303565099,0.21390345173596073,3.1840469347535474,0.0,2.457691736644558,3.0378859708092047,8.708099094863881,8.486571392120913,0.6515895874112165,13.553767986297608
7.809999999999878,0.01,1.8846268753112017,-0.18161502941055574,0.21207787443239562,3.2029098772326363,0.0,2.4732603828298036,3.057644958132519,8.685431071103226,8.506843820158172,0.634136294891273,13.566453952789306
7.819999999999878,0.01,1.8768611804414241,-0.1943182485999041,0.21026172413829006,3.2217561459857484,0.0,2.4886884847747015,3.077136605213459,8.662551177152556,8.526757462502234,0.6225007665446443,13.516290769577026
7.8299999999998775,0.01,1.851507727890118,-0.20009111698002296,0.20831854165229102,3.240524757790163,0.0,2.4886884847747015,3.077136605213459,8.662551177152556,8.526757462502234,0.6108652381980155,13.543079500198363
7.839999999999877,0.01,1.847747405381444,-0.20529234049662123,0.2063176304824908,3.259039835069064,0.0,2.4886884847747015,3.077136605213459,8.662551177152556,8.526757462502234,0.5992297098513863,13.513785181045533
7.849999999999877,0.01,1.8284359496513107,-0.21023378493611464,0.2042647070775246,3.2775173091228784,0.0,2.5352493308610864,3.1344447880135444,8.590907967044483,8.585793918396543,0.5817764173314433,13.538076095581054
7.859999999999877,0.01,1.8241509212889682,-0.22191394666915754,0.20216236922816344,3.2958016686193914,0.0,2.550781246621169,3.153371530739369,8.566104916131543,8.605131572841865,0.5701408889848145,13.50963572502136
7.869999999999877,0.01,1.8052170018343459,-0.22639897105062629,0.19994322976147186,3.314043177832281,0.0,2.550781246621169,3.153371530739369,8.566104916131543,8.605131572841865,0.5585053606381853,13.515861835479736
7.879999999999876,0.01,1.7960154072349577,-0.23035838815410858,0.1976792400509656,3.3320953478506246,0.0,2.550781246621169,3.153371530739369,8.566104916131543,8.605131572841865,0.5468698322915566,13.497945833206176
7.889999999999876,0.01,1.7801676245873546,-0.23411597916042431,0.1953756561694245,3.350055501922974,0.0,2.550781246621169,3.153371530739369,8.566104916131543,8.605131572841865,0.5352343039449279,13.49891842842102
7.899999999999876,0.01,1.769663858804101,-0.23769539639708334,0.19303449637782027,3.3678571781688476,0.0,2.6121783528939915,3.227842924146037,8.463139336434802,8.679915869461917,0.5235987755982987,13.484873485565185
7.909999999999876,0.01,1.755050269056943,-0.2411057220384587,0.19065754241384944,3.3855538167568886,0.0,2.6121783528939915,3.227842924146037,8.463139336434802,8.679915869461917,0.5061454830783556,13.470444173812869
7.919999999999876,0.01,1.74039207861347,-0.2513277462559808,0.18824648519346485,3.403104319447458,0.0,2.6121783528939915,3.227842924146037,8.463139336434802,8.679915869461917,0.4945099547317269,13.468356094360352
7.929999999999875,0.01,1.7292771147524237,-0.254423533467844,0.18573320773090504,3.420508240233593,0.0,2.6121783528939915,3.227842924146037,8.463139336434802,8.679915869461917,0.4828744263850977,13.420257835388185
7.939999999999875,0.01,1.7053672497685362,-0.25705932958991934,0.1831889723962266,3.4378010113811173,0.0,2.6725729381807906,3.3010150011390262,8.353499637625022,8.75081114701441,0.47123889803846897,13.465000038146972
7.949999999999875,0.01,1.7075194038524817,-0.2595558152874603,0.1806183791003274,3.4548546838788026,0.0,2.687205294194007,3.3185052654297262,8.325523095981152,8.767595692806458,0.45960336969184024,13.41701647758484
