time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{mq-local}.l.angle,{mq-local}.l.distance,{mq-networked}.n.steer_angle_s,{mq-networked}.n.theta_s,{mq-networked}.n.velocity_s,{mq-networked}.n.x_s,{mq-networked}.n.y_s
3.189999999999976,0.01,-0.6410394892521722,0.12241089239821457,1.4970811961491903,0.2232006916944017,0.07493382067905342,0.08781276496911974,2.5590694112650065,6.871551906191899,-0.060059313894106,0.4828744263850977,3.15207510471344,-0.001924477840463512,-0.02732506706161072,3.958095785954117,7.256310838070029,-0.130388651508396
3.1999999999999758,0.01,-0.6528606174392407,0.12860891226647853,1.4709683821996054,0.24153791214341297,0.07716582759599744,0.09261743507486565,2.552659016372485,6.897060382155357,-0.058009611674542216,0.5352343039449279,3.104258770942688,-5.863419500058975E-4,-0.02760307174369091,3.958260752679487,7.295838488272213,-0.13127161204122573
3.2099999999999755,0.01,-0.6624029539595382,0.14255445697007266,1.4486540931065879,0.29424883218333847,0.07958120671743157,0.09756324516256445,2.5461304101980926,6.922495070588138,-0.05584548836147455,0.5352343039449279,3.104258770942688,-5.863419500058975E-4,-0.027858087950486887,3.958426613202662,7.335581612485316,-0.13217471076480006
3.2199999999999753,0.01,-0.6584857902549028,0.14255445697007266,1.4486540931065879,0.2833796261368849,0.08252369503926496,0.10265323700727208,2.5395063806584974,6.947853963943618,-0.05356414350395437,0.5352343039449279,3.104258770942688,-5.863419500058975E-4,-0.027858087950486887,3.958426613202662,7.335581612485316,-0.13217471076480006
3.229999999999975,0.01,-0.6545113725311457,0.14255445697007266,1.4486540931065879,0.27013842868863464,0.0853574913006338,0.10789227933497202,2.5329215227559483,6.973135213483288,-0.051162542485163255,0.5352343039449279,3.104258770942688,-5.863419500058975E-4,-0.027858087950486887,3.958426613202662,7.335581612485316,-0.13217471076480006
3.239999999999975,0.01,-0.6505604577896162,0.14255445697007266,1.4486540931065879,0.25738634551247486,0.08805887558752015,0.11329108721629239,2.526376409030637,6.998338193372203,-0.04863688440003091,0.5643231248114997,3.1142938709259034,-5.863419500058975E-4,-0.027858087950486887,3.958426613202662,7.335581612485316,-0.13217471076480006
3.2499999999999747,0.01,-0.6438235615591291,0.1503019818054026,1.4533371397654216,0.28009397798047103,0.0906327390426449,0.118856378553272,2.519870804452741,7.023462241788122,-0.045983590747754474,0.6283185307179586,3.1021501779556275,8.78786463769321E-4,-0.028622594492261223,3.9574165268251384,7.494013188419042,-0.1359149002871064
3.2599999999999745,0.01,-0.6433204328440688,0.16734653644312872,1.4476700830459595,0.34521208830217714,0.09343367882244961,0.12459130826388688,2.5134325688371497,7.048506653749122,-0.043199292516410595,0.6399540590645874,3.078480353355408,8.78786463769321E-4,-0.028622594492261223,3.9574165268251384,7.494013188419042,-0.1359149002871064
3.2699999999999743,0.01,-0.6460850423627755,0.1704455463772607,1.4366241648991904,0.34655340399664986,0.09688579970547138,0.13049603300354257,2.506999364508709,7.07347095815523,-0.04028075978089357,0.6690428799311596,3.094811172485352,8.78786463769321E-4,-0.028622594492261223,3.9574165268251384,7.494013188419042,-0.1359149002871064
3.279999999999974,0.01,-0.6376524904093268,0.17819307121259076,1.4442452138264976,0.3658827217820372,0.10035133374543788,0.13657440602566617,2.5005385140850813,7.098353965060221,-0.03722452864911279,0.6690428799311596,3.094811172485352,8.78786463769321E-4,-0.028622594492261223,3.9574165268251384,7.494013188419042,-0.1359149002871064
3.289999999999974,0.01,-0.6337759801551502,0.17819307121259076,1.4442452138264976,0.35028781860218794,0.10401016096325826,0.14283940395586314,2.494161989180988,7.123153986234379,-0.034026367333041804,0.6690428799311596,3.094811172485352,8.78786463769321E-4,-0.028622594492261223,3.9574165268251384,7.494013188419042,-0.1359149002871064
