time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
9.61999999999984,0.01,0.001719613889970528,3.355934205528932E-8,0.4168168290353537,3.9842579090196772,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.62999999999984,0.01,0.0017092335463237518,3.197430945012236E-8,0.41681682937094716,3.9842751051585767,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.639999999999839,0.01,0.0016989158629840517,3.0464138961461273E-8,0.4168168296906903,3.98429219749404,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.649999999999839,0.01,0.001688660461705993,2.902529491755068E-8,0.41681682999533165,3.98430918665267,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.659999999999838,0.01,0.0016784669665281804,2.7654408762955995E-8,0.4168168302855846,3.9843260732572867,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.669999999999838,0.01,0.0016683350037580702,2.6348270565357268E-8,0.41681683056212865,3.984342857926952,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.679999999999838,0.01,0.0016582642019589144,2.510382227094432E-8,0.41681683082561133,3.9843595412769894,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.689999999999838,0.01,0.001648254191936438,2.3918150210411326E-8,0.4168168310766496,3.984376123919009,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.699999999999838,0.01,0.0016383046067247164,2.2788478104551757E-8,0.4168168313158311,3.9843926064609283,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.709999999999837,0.01,0.0016284150815731202,2.171216131885423E-8,0.41681683154371585,3.9844089895069956,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.719999999999837,0.01,0.001618585253932725,2.0686679869097446E-8,0.41681683176083745,3.9844252736578114,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.729999999999837,0.01,0.001608814763443256,1.9709632675946054E-8,0.41681683196770425,3.9844414595103506,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.739999999999837,0.01,0.0015991032519197645,1.877873206934666E-8,0.4168168321648006,3.984457547657985,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.749999999999837,0.01,0.00158945036333904,1.7891798542724047E-8,0.41681683235258793,3.984473538690504,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.759999999999836,0.01,0.0015798557438276184,1.704675550717738E-8,0.4168168325315059,3.9844894331941374,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.769999999999836,0.01,0.001570319041647661,1.6241624545276778E-8,0.41681683270197345,3.9845052317515757,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.779999999999836,0.01,0.0015608399071846968,1.547452066485988E-8,0.4168168328643897,3.984520934941992,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.543799924850465
9.789999999999836,0.01,0.0015514179929348338,1.474364755282842E-8,0.4168168330191349,3.984536543341064,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.799999999999836,0.01,0.0038324364831544776,1.4047294077945693E-8,0.41681683316657137,3.984552057520993,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.809999999999835,0.01,0.0038231279751969713,1.3383830044233491E-8,0.41681683330704433,3.9845903818858246,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.819999999999835,0.01,0.0038001333562981184,1.2751701694568851E-8,0.4168168334408826,3.9846286131655764,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.829999999999835,0.01,0.0037771945884470526,1.214942946248243E-8,0.4168168335683996,3.9846666144991394,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.839999999999835,0.01,0.0037543937883092403,1.1575602976154897E-8,0.4168168336898939,3.984704386445024,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.849999999999834,0.01,0.003731730620778606,1.1028878560415123E-8,0.41681683380564993,3.984741930382907,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.859999999999834,0.01,0.0037092042580487926,1.0507976488938198E-8,0.4168168339159387,3.9847792476891146,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.869999999999834,0.01,0.0036868138743241016,1.0011676987442542E-8,0.4168168340210185,3.984816339731695,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.879999999999834,0.01,0.0036645586487757953,9.53881798548828E-9,0.41681683412113524,3.9848532078704384,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.889999999999834,0.01,0.0036424377655298375,9.088292618475435E-9,0.41681683421652344,3.9848898534569264,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.899999999999833,0.01,0.003620450413637055,8.659045730441406E-9,0.41681683430740635,3.9849262778345818,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.551979866027832
9.909999999999833,0.01,0.0035985957870438233,8.250072625060056E-9,0.4168168343939968,3.984962482338718,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
9.919999999999833,0.01,0.004568116065519412,7.860415568439194E-9,0.41681683447649753,3.9849984682965887,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
9.929999999999833,0.01,0.004546524490797133,7.489162290319484E-9,0.4168168345551017,3.9850441494572437,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
9.939999999999833,0.01,0.0045191157944040935,7.135443486072646E-9,0.41681683462999336,3.9850896147021517,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
9.949999999999832,0.01,0.004491836647459291,6.798431068100186E-9,0.4168168347013478,3.985134805860096,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
9.959999999999832,0.01,0.004464721952692763,6.477336167431957E-9,0.41681683476933207,3.9851797242265707,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
9.969999999999832,0.01,0.004437770932807883,6.171406885524533E-9,0.4168168348341054,3.9852243714460975,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
9.979999999999832,0.01,0.0044109826010918065,5.879926795460122E-9,0.4168168348958195,3.9852687491554257,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
9.989999999999831,0.01,0.004384355975494891,5.602213443145487E-9,0.41681683495461874,3.9853128589814366,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
9.999999999999831,0.01,0.00435789007988836,5.337616848510862E-9,0.4168168350106409,3.9853567025411913,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
10.009999999999831,0.01,0.004331583944035522,5.085517257308325E-9,0.41681683506401707,3.9854002814419904,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
10.01999999999983,0.01,0.004305436603556067,4.845324391711259E-9,0.4168168351148722,3.9854435972814306,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
10.02999999999983,0.01,0.004279447099891964,4.616476201313446E-9,0.41681683516332546,3.985486651647466,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.55552001953125
10.03999999999983,0.01,0.0042536144802706845,4.398436614927448E-9,0.4168168352094902,3.985529446118465,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.04999999999983,0.01,0.00774469118512231,4.190695290784419E-9,0.41681683525347457,3.985571982263268,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.05999999999983,0.01,0.007719169498240586,3.992765618132665E-9,0.41681683529538155,3.985649429175119,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.06999999999983,0.01,0.007672701351129873,3.804184217637285E-9,0.4168168353353092,3.985726620870101,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.07999999999983,0.01,0.007626386334140544,3.624509692379263E-9,0.41681683537335107,3.9858033478836123,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.08999999999983,0.01,0.0075803501260338635,3.453321378854568E-9,0.4168168354095962,3.9858796117469537,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.09999999999983,0.01,0.007534591808029045,3.2902183477734326E-9,0.4168168354441294,3.985955415248214,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.109999999999829,0.01,0.007489109707272767,3.1348189044599906E-9,0.4168168354770316,3.9860307611662944,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.119999999999829,0.01,0.007443902156424631,2.9867590900511942E-9,0.4168168355083798,3.986105652263367,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.129999999999828,0.01,0.007398967498181008,2.845692181896453E-9,0.4168168355382474,3.9861800912849312,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.139999999999828,0.01,0.007354304085242535,2.7112879441570925E-9,0.4168168355667043,3.986254080959913,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.149999999999828,0.01,0.0073099102802533615,2.5832318784058117E-9,0.41681683559381716,3.9863276240007655,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.159999999999828,0.01,0.007265784455741997,2.4612239746257814E-9,0.4168168356196495,3.986400723103568,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.169999999999828,0.01,0.007221924994060557,2.344978461410463E-9,0.41681683564426175,3.986473380948125,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.568079853057862
10.179999999999827,0.01,0.007178330287326151,2.2342233063632477E-9,0.41681683566771155,3.986545600198066,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.189999999999827,0.01,0.004939826999690844,2.1286992168967345E-9,0.4168168356900538,3.9866173835009393,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.199999999999827,0.01,0.004896757017966813,2.0281591406323685E-9,0.41681683571134076,3.986666781770936,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.209999999999827,0.01,0.0048671180559687775,1.9323677658000804E-9,0.41681683573162237,3.9867157493411156,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.219999999999827,0.01,0.004837737513861029,1.8411005220375642E-9,0.416816835750946,3.9867644205216752,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.229999999999826,0.01,0.004808534805525255,1.7541440799906383E-9,0.416816835769357,3.986812797896814,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.239999999999826,0.01,0.00477950838044201,1.6712946027119813E-9,0.4168168357868985,3.9868608832448693,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.249999999999826,0.01,0.004750657171608807,1.5923579954613132E-9,0.41681683580361145,3.986908678328674,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.259999999999826,0.01,0.004721980121326119,1.5171496559052144E-9,0.41681683581953505,3.98695618490039,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.269999999999825,0.01,0.004693476178296496,1.445493474916404E-9,0.4168168358347065,3.987003404701603,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.279999999999825,0.01,0.0046651442975686125,1.3772218365737388E-9,0.41681683584916146,3.987050339463386,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.289999999999825,0.01,0.0046369834404988985,1.3121746189614925E-9,0.41681683586293367,3.9870969909063616,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.299999999999825,0.01,0.004608992574713433,1.2501996937697157E-9,0.4168168358760554,3.9871433607407667,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.309999999999825,0.01,0.004581170674070378,1.1911519270935145E-9,0.4168168358885574,3.9871894506665138,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.319999999999824,0.01,0.0045535167186221415,1.1348929296328691E-9,0.4168168359004689,3.9872352623732543,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.329999999999824,0.01,0.004526029694577804,1.0812910566926348E-9,0.41681683591181784,3.9872807975404405,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.339999999999824,0.01,0.004498708594266087,1.03022090858218E-9,0.41681683592263075,3.9873260578373864,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.349999999999824,0.01,0.0044715524160985785,9.81562831015026E-10,0.41681683593293295,3.987371044923329,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.359999999999824,0.01,0.004444560164532962,9.35202915108846E-10,0.4168168359427486,3.9874157604474902,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.369999999999823,0.01,0.00441773085003625,8.910324977851047E-10,0.4168168359521006,3.9874602060491355,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.379999999999823,0.01,0.0043910634890490735,8.489484115692392E-10,0.41681683596101093,3.987504383357636,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.389999999999823,0.01,0.004364557103948918,8.088519853899356E-10,0.4168168359695004,3.987548293992526,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.399999999999823,0.01,0.004338210723014679,7.706492943793108E-10,0.41681683597758895,3.9875919395635657,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.409999999999823,0.01,0.004312023380390961,7.342509100727312E-10,0.41681683598529545,3.987635321670796,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.419999999999822,0.01,0.004285994116052905,6.995716506086325E-10,0.41681683599263797,3.9876784419046,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.560239953994751
10.429999999999822,0.01,0.004260121975770481,6.665303309283388E-10,0.4168168359996337,3.9877213018457605,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.550559854507446
10.439999999999822,0.01,0.0015239781546287467,6.350495129758826E-10,0.416816836006299,3.987763903065518,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.550559854507446
10.449999999999822,0.01,0.0014984174227741676,6.05055755498185E-10,0.41681683601264946,3.9877791428470646,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.550559854507446
10.459999999999821,0.01,0.0014892735538462709,5.764786148443335E-10,0.4168168360187,3.987794127021292,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.550559854507446
10.469999999999821,0.01,0.0014802830493096941,5.492511445659432E-10,0.4168168360244648,3.9878090197568308,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.550559854507446
10.479999999999821,0.01,0.0014713474079865562,5.233096456169761E-10,0.4168168360299573,3.9878238225873237,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.550559854507446
10.48999999999982,0.01,0.0014624657096907966,4.98593416553561E-10,0.4168168360351904,3.9878385360614037,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.550559854507446
10.49999999999982,0.01,0.0014536376252427985,4.750445037338125E-10,0.41681683604017633,3.9878531607185006,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.550559854507446
10.50999999999982,0.01,0.0014448628309846612,4.526077013178309E-10,0.41681683604492675,3.987867697094753,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.51999999999982,0.01,0.0026121465594326487,4.3123080106788336E-10,0.41681683604945285,3.987882145723063,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.52999999999982,0.01,0.0026034773824467725,4.1086334334750063E-10,0.4168168360537652,3.987908267188657,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.53999999999982,0.01,0.0025878045030903072,3.9145786612238E-10,0.41681683605787384,3.9879343019624813,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.54999999999982,0.01,0.0025721836387956995,3.72968905759663E-10,0.41681683606178843,3.987960180007512,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.55999999999982,0.01,0.0025566568117771915,3.553532468281162E-10,0.4168168360655181,3.9879859018439,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.569999999999819,0.01,0.0025412237099444288,3.385696722979503E-10,0.41681683606907166,3.988011468412018,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.579999999999819,0.01,0.002525883769073811,3.2257871374063996E-10,0.41681683607245734,3.9880368806491173,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.589999999999819,0.01,0.0025106364268141054,3.0734315092928455E-10,0.41681683607568315,3.988062139486808,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.599999999999818,0.01,0.0024954811241996388,2.9282701263788624E-10,0.4168168360787566,3.988087245851076,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.609999999999818,0.01,0.002480417305638838,2.7899657584207205E-10,0.41681683608168485,3.988112200662318,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.619999999999818,0.01,0.002465444418893714,2.658193665183717E-10,0.41681683608447484,3.9881370048353744,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.629999999999818,0.01,0.002450561915059879,2.532644094443981E-10,0.41681683608713305,3.9881616592795632,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
10.639999999999818,0.01,0.0024357692485465596,2.4130247799902804E-10,0.4168168360896657,3.988186164898714,0.0,0.0,0.0,1.216133438772432,1.216133438772432,1.5649785626215822,8.554759874343873
