time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
14.849999999999728,0.01,-0.5860428616835934,0.004648514901198027,1.9635856494903563,0.05069093825263908,-0.006160740950354201,2.9344773105422988,-0.010670310432987997,-1.4335384655639023,2.8845053415555855,-13.78170864526423,3.680515786100169,0.01745329251994332,4.174093713760376
14.859999999999728,0.01,-0.591940146472474,0.004648514901198027,1.9479103997548421,0.04864165133198503,-0.005653831567827811,2.9286168819254628,-0.00850620305048816,-1.4377180881345386,2.8620920382133663,-13.765520000610914,3.5666367504427487,0.01745329251994332,4.174093713760376
14.869999999999727,0.01,-0.5884238893023723,0.004648514901198027,1.9479103997548421,0.04636055911061627,-0.0051674150545079605,2.922697480460738,-0.00850620305048816,-1.4377180881345386,2.8620920382133663,-13.765520000610914,3.5666367504427487,0.01745329251994332,4.174093713760376
14.879999999999727,0.01,-0.5848722484235376,0.004648514901198027,1.9479103997548421,0.044171684800676944,-0.004703809463401798,2.9168132415677146,-0.00850620305048816,-1.440542011697514,2.845074636948344,-13.7537561132963,3.4817228863165774,0.01745329251994332,4.174093713760376
14.889999999999727,0.01,-0.5813417050877234,0.004648514901198027,1.9479103997548421,0.04208545964069921,-0.004262092615395028,2.910964519083479,-0.00850620305048816,-1.440542011697514,2.845074636948344,-13.7537561132963,3.4817228863165774,0.03490658503988664,4.068562340736389
14.899999999999727,0.01,-0.6073812560438985,0.009297029802396054,1.8986624256769817,0.061016050880059874,-0.003841238018988036,2.905151102032602,-0.00850620305048816,-1.440542011697514,2.845074636948344,-13.7537561132963,3.4817228863165774,0.03490658503988664,4.039700374603272
14.909999999999727,0.01,-0.611974556330645,0.009297029802396054,1.8851935081481936,0.059122205196228406,-0.003231077510187437,2.899077289472163,-0.006609247008400543,-1.4430705538862416,2.827493262437092,-13.742298782715892,3.397251525970275,0.03490658503988664,4.0077494764328
14.919999999999726,0.01,-0.6172765202821135,0.009297029802396054,1.8702830890019735,0.05637648290662571,-0.002639855458225153,2.892957543908856,-0.006609247008400543,-1.4430705538862416,2.827493262437092,-13.742298782715892,3.397251525970275,0.03490658503988664,4.0077494764328
14.929999999999726,0.01,-0.6136046729441296,0.009297029802396054,1.8702830890019735,0.053715983672795425,-0.002076090629158896,2.8867847787060352,-0.006609247008400543,-1.4430705538862416,2.827493262437092,-13.742298782715892,3.397251525970275,0.03490658503988664,4.0077494764328
14.939999999999726,0.01,-0.609901013822437,0.009297029802396054,1.8702830890019735,0.05117904194199727,-0.0015389307924309418,2.880648731976594,-0.006609247008400543,-1.4452714984955917,2.8099951298071533,-13.731150101535771,3.3134030101747256,0.03490658503988664,4.0077494764328
14.949999999999726,0.01,-0.6062193857847722,0.009297029802396054,1.8702830890019735,0.04876182267672148,-0.001027140373010969,2.8745497218383695,-0.006187569638934021,-1.445929469225535,2.8038899761226377,-13.72750039772766,3.2856086803543083,0.04654211338651559,3.907530517578125
14.959999999999726,0.01,-0.6306212881811466,0.012396039736528091,1.8235142415364585,0.06040431049292577,-5.395221462437543E-4,2.868487527980522,-0.003414260307439909,-1.4465523309021464,2.797774317190762,-13.72387358811268,3.257824236140461,0.04654211338651559,3.872241859436035
14.969999999999725,0.01,-0.6368647961462233,0.012396039736528091,1.8070462010701498,0.0582100284724733,6.452095868550347E-5,2.8621813150987103,-0.003414260307439909,-1.4465523309021464,2.797774317190762,-13.72387358811268,3.257824236140461,0.05235987755982996,3.854248342514038
