time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{rabbitmq}.r.angle,{rabbitmq}.r.distance
13.989999999999746,0.01,0.16223367290621296,-0.3050533768799172,0.14996428215446186,3.147532216223025,-14.672287788248248,7.696047935207554,0.3025237370123506,7.296895380020142
13.999999999999746,0.01,0.1546113766718249,-0.3122551074016327,0.14691374838566268,3.149154552952087,-14.684443270589737,7.667014503542283,0.296705972839036,7.280817937850952
14.009999999999746,0.01,0.1491362908270144,-0.30550047779383355,0.14379119731164636,3.150700666718805,-14.696204681268984,7.637801721088844,0.27925268031909267,7.253434133529663
14.019999999999746,0.01,0.14054115735702258,-0.3123673150161512,0.14073619253370803,3.1521920296270753,-14.707574554728051,7.6084177552800725,0.26761715197246394,7.239140224456787
14.029999999999745,0.01,0.1356440450716552,-0.31256533821902266,0.13761251938354652,3.153597441200646,-14.718555876319863,7.578870470544218,0.255981623625835,7.205185251235962
14.039999999999745,0.01,0.12529340562568184,-0.31245435374689,0.1344868660013563,3.1549538816513625,-14.729151723634645,7.549167849417514,0.24434609527920623,7.178364648818969
14.049999999999745,0.01,0.11696977267849408,-0.3123344582306279,0.13136232246388738,3.1562068157076193,-14.739365651816613,7.519317404351681,0.2327105669325773,7.187634782791138
14.059999999999745,0.01,0.1188136497569471,-0.31221955701561194,0.1282389778815811,3.157376513434404,-14.749201308127562,7.489327005700033,0.22107503858594835,7.161481437683105
14.069999999999744,0.01,0.11078889449062714,-0.31211005109882783,0.12511678231142498,3.1585646499319737,-14.758662657655412,7.459204165364657,0.2094395102393196,7.134919328689575
14.079999999999744,0.01,0.1026386220738968,-0.3120057157367193,0.1219956818004367,3.15967253887688,-14.767754194490266,7.428955247652439,0.20362174606600525,7.105582313537598
14.089999999999744,0.01,0.0937595244643993,-0.3049335357890689,0.1188756246430695,3.160698925097619,-14.776480362644962,7.398587385616576,0.1919862177193763,7.06904444694519
14.099999999999744,0.01,0.0829130900860818,-0.3048388232845107,0.11582628928517881,3.161636520342263,-14.78484583242573,7.368107544986114,0.18035068937274737,7.070961360931396
14.109999999999744,0.01,0.08288726885543322,-0.30506235887759675,0.1127779010523337,3.162465651243124,-14.792855475501849,7.33752257863875,0.1687151610261186,7.0446079730987545
14.119999999999743,0.01,0.07501084172177687,-0.30529015653338776,0.10972727746355773,3.163294523931678,-14.800514242969843,7.306839322937954,0.15707963267948966,7.037689571380615
14.129999999999743,0.01,0.07257636562756539,-0.30550789508749,0.10667437589822386,3.164044632348896,-14.807827535814837,7.2760633749870465,0.1512618685061753,7.008354606628418
14.139999999999743,0.01,0.06391251044661947,-0.2987426103952845,0.10361929694734896,3.1647703960051716,-14.814800767348395,7.245200907724545,0.13962634015954634,6.999323091506958
14.149999999999743,0.01,0.06094822801884527,-0.29894029981994164,0.10063187084339612,3.165409521109638,-14.821439645304347,7.214257370993443,0.1279908118129176,6.960075435638427
14.159999999999743,0.01,0.049575409312976944,-0.29944242705574775,0.0976424678451967,3.1660190033898266,-14.827749921851318,7.183238632245165,0.12217304763960302,6.946996707916259
14.169999999999742,0.01,0.04554767618265663,-0.2929628859156476,0.09464804357463923,3.166514757482956,-14.833737531662976,7.152149789202589,0.11053751929297428,6.912301378250122
