time,step-size,{KF}.kf.steer_angle_p,{KF}.kf.theta_p,{KF}.kf.velocity_p,{KF}.kf.x_p,{KF}.kf.y_p,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{mq-local}.l.angle,{mq-local}.l.distance,{mq-networked}.n.steer_angle_s,{mq-networked}.n.theta_s,{mq-networked}.n.velocity_s,{mq-networked}.n.x_s,{mq-networked}.n.y_s
4.159999999999956,0.01,0.12399439491205075,0.17648314486417208,0.10341661489155463,10.194199740847587,-7.803697047343379E-4,0.8814683012002605,0.4168168361407558,4.46073042678833,0.08516491000903745,0.39878516769101113,1.697480839367723,3.0004873810044517,8.793283660494705,1.5229569594177974,1.5649785626215822,9.558708057403564,0.013733818405931686,0.1761738187149756,-0.055082630227033746,10.183873653162127,-0.002453566024163153
4.1699999999999555,0.01,0.12210272785124639,0.1765353470103305,0.07527309912848783,10.192140898846969,-0.001114605048720481,0.8761458274703269,0.4168168361407558,4.46073042678833,0.08114250802385109,0.3996368167911015,1.726536234200102,3.0093020640164543,8.792644060776427,1.5529550154307639,1.5649785626215822,9.558708057403564,0.013733818405931686,0.1761738187149756,-0.055082630227033746,10.183873653162127,-0.002453566024163153
4.179999999999955,0.01,0.1202185393905815,0.17657597820472867,0.05330624150999605,10.190417496520809,-0.0013941010569538661,0.8708570176631253,0.4168168361407558,4.46073042678833,0.07731008707344433,0.40044824187134004,1.7557366887867831,3.0180635222911576,8.791196000340882,1.5830131759237878,1.5649785626215822,9.558708057403564,0.018365978795833016,0.17604500522016894,-0.08461388042452711,10.180582275904763,-0.003039337631217999
4.189999999999955,0.01,0.11845785382668837,0.17657909039347877,0.029624338123053442,10.188152776728902,-0.001772567729093586,0.8656001426983033,0.4168168361407558,4.46073042678833,0.07365867421237102,0.4012213427420745,1.7850781466028816,3.0267720924677888,8.788931223628934,1.6131087159405988,1.5649785626215822,9.557242221832276,0.018365978795833016,0.17604500522016894,-0.08461388042452711,10.180582275904763,-0.003039337631217999
4.199999999999955,0.01,0.1167050266114407,0.1765814720443531,0.011135672879735655,10.186288279876258,-0.0020833831360070787,0.8599645666323641,0.4168168361407558,4.460046370188396,0.07017972029406597,0.40195792948419823,1.8145567182659619,3.035428093894772,8.785842191708948,1.6432183956428388,1.5649785626215822,9.559903964996336,0.018365978795833016,0.17604500522016894,-0.08461388042452711,10.180582275904763,-0.003039337631217999
4.209999999999955,0.01,0.11496154553709456,0.17658327296353327,-0.0033101910255421488,10.184757926238655,-0.002337960961204472,0.8555162538621108,0.4168168361407558,4.46128851699829,0.06686507995450916,0.4026597266871389,1.8441686770228352,3.0440277395610957,8.781922107867828,1.6733184839151207,1.5649785626215822,9.56156307220459,0.018365978795833016,0.17590358382045548,-0.10271462579254376,10.177908075187071,-0.0035149181470303425
4.2199999999999545,0.01,0.11322878441906242,0.17655335546549666,-0.018600669579138498,10.182851061737777,-0.002661208859082588,0.8508210164806279,0.4168168361407558,4.462062767028809,0.06370699254127615,0.403328377486684,1.8739106421829514,3.052582902099717,8.777164947786796,1.7033847426761501,1.5649785626215822,9.56156307220459,0.019898668373157236,0.17584166847972224,-0.1089506815627459,10.176896635309792,-0.003694692074941209
4.229999999999954,0.01,0.11154584280132271,0.1765163006088468,-0.031926208458879946,10.181055938083365,-0.002966469525619079,0.8456879189574552,0.4168168361407558,4.462062767028809,0.06069806394332325,0.4039654474120967,1.9037788103815374,3.0610911122645232,8.771565460448313,1.7333926079611937,1.5649785626215822,9.56156307220459,0.027266508554495417,0.1757710081336261,-0.11522506629522412,10.17582492753199,-0.003885109604816133
4.239999999999954,0.01,0.1100570153084307,0.17647174950729305,-0.043732917625084015,10.179343055728017,-0.003258742949374685,0.8405829928585714,0.4168168361407558,4.462062767028809,0.057831249278965935,0.40457242805152993,1.933769726614598,3.069547991454098,8.765119209047723,1.7633170749178309,1.5649785626215822,9.56156307220459,0.027266508554495417,0.1757710081336261,-0.11522506629522412,10.17582492753199,-0.003885109604816133
4.249999999999954,0.01,0.10857698717084105,0.17643697762960328,-0.05296785936713966,10.177959477140808,-0.0034942549451340305,0.8355088653448265,0.4168168361407558,4.462062767028809,0.0550998364015165,0.4051507405443196,1.9638803320063736,3.0779538213826836,8.757822599248144,1.7931327079417443,1.5649785626215822,9.567549419403075,0.027266508554495417,0.17560077209230354,-0.12767932899809864,10.173493226946508,-0.004299129556315951
4.259999999999954,0.01,0.10710685876024141,0.17637219022024375,-0.06295568195902304,10.17628407330506,-0.003782314799682742,0.8321415446032511,0.4168168361407558,4.464856395721435,0.052497430183962995,0.4057017389083348,1.9941076892208227,3.086308910036132,8.749672891649539,1.822813715989209,1.5649785626215822,9.557719764709471,0.027266508554495417,0.17560077209230354,-0.12767932899809864,10.173493226946508,-0.004299129556315951
4.269999999999953,0.01,0.10564764962661967,0.17632164370647901,-0.07075973587921046,10.174937290844218,-0.004013289489331638,0.8243761880969726,0.4168168361407558,4.460269223531086,0.0500179375458947,0.4062267132101744,2.024448976866613,3.0946303254821648,8.740668220548933,1.8523339830473977,1.5649785626215822,9.548636665344238,0.03307775624866771,0.17538924947711326,-0.14010533061036767,10.170906444677934,-0.004757960600298996
4.279999999999953,0.01,0.10434375753337141,0.17623544376223416,-0.0796481995336636,10.173240517356598,-0.00430670326847369,0.8168400710070878,0.4168168361407558,4.456030443827311,0.04765555318761641,0.4067268925856333,2.054900676677592,3.1028740873631344,8.730807561291504,1.8816672591028993,1.5649785626215822,9.548636665344238,0.03307775624866771,0.17538924947711326,-0.14010533061036767,10.170906444677934,-0.004757960600298996
4.289999999999953,0.01,0.10304902082472553,0.1761682080021089,-0.08662793048482333,10.171881832442848,-0.004541045119621672,0.811893813878506,0.4168168361407558,4.456030443827311,0.04540474599805122,0.40720344811750947,2.085461684213067,3.1110424880732053,8.72009093419147,1.910786611152726,1.5649785626215822,9.548636665344238,0.03307775624866771,0.1751362518267346,-0.15260832652049316,10.168099534548531,-0.005255194596674667
4.299999999999953,0.01,0.10176429584632433,0.17605983204803466,-0.09486972973537641,10.170130186654191,-0.004845038931789017,0.8069927734524635,0.4168168361407558,4.456030443827311,0.043260246104608574,0.40765749557749,2.1161306209417203,3.11916142621199,8.708519289995992,1.9396649003484687,1.5649785626215822,9.548636665344238,0.03307775624866771,0.1751362518267346,-0.15260832652049316,10.168099534548531,-0.005255194596674667
4.3099999999999525,0.01,0.10049037450546855,0.17597531359714585,-0.10132478043369744,10.168731686313745,-0.005087158494562971,0.8021214105691925,0.4168168361407558,4.456030443827311,0.041217032534696274,0.4080900980385361,2.146904729935319,3.127231353946515,8.696094430122718,1.9682750324244729,1.5649785626215822,9.567958717346192,0.03307775624866771,0.1751362518267346,-0.15260832652049316,10.168099534548531,-0.005255194596674667
4.319999999999952,0.01,0.0992279793718399,0.17590938450712187,-0.10638839520365917,10.167615778952714,-0.005279907468219239,0.802689628489025,0.4168168361407558,4.465047401428223,0.03927032145998885,0.40850226836388304,2.1777813994314243,3.135252568052207,8.682819103111626,1.9965897509796555,1.5649785626215822,9.562441635131837,0.0405318510338315,0.1746561817380722,-0.17182374216002927,10.163401925167008,-0.0060856847885807685
4.329999999999952,0.01,0.0981618052540779,0.1757518397277411,-0.11458248433317818,10.165619450489299,-0.00562763505724058,0.7963321170055903,0.4168168361407558,4.462472763061524,0.037415554995927525,0.4088949715784829,2.2087581592739287,3.1432794643370974,8.668697018041401,2.024581670881961,1.5649785626215822,9.55293951034546,0.0405318510338315,0.1746561817380722,-0.17182374216002927,10.163401925167008,-0.0060856847885807685
4.339999999999952,0.01,0.09710386400349975,0.17562900060921255,-0.12101086280784637,10.164030618012475,-0.00590369709221607,0.7888553842944706,0.4168168361407558,4.458038438161215,0.03564839053022803,0.4092691271284422,2.2398299501018317,3.1512427855071534,8.653732607263303,2.052223794337959,1.5649785626215822,9.55293951034546,0.0405318510338315,0.1746561817380722,-0.17182374216002927,10.163401925167008,-0.0060856847885807685
4.349999999999952,0.01,0.09605480865295195,0.17553320823152008,-0.12607333609306723,10.162766721275782,-0.006122783014371451,0.784077391592437,0.4168168361407558,4.458038438161215,0.03396469055541124,0.4096256110337445,2.2709958611473136,3.159131339350098,8.637931597858344,2.07948844564887,1.5649785626215822,9.55293951034546,0.0405318510338315,0.1746561817380722,-0.17182374216002927,10.163401925167008,-0.0060856847885807685
4.3599999999999515,0.01,0.09501522836846954,0.17545849413018752,-0.13005143973433722,10.161761525588197,-0.006296623718808462,0.7793442592866701,0.4168168361407558,4.458038438161215,0.032360512981550904,0.4099652579392986,2.3022554466398195,3.1669721132660227,8.621300776291672,2.1063478361100088,1.5649785626215822,9.55293951034546,0.050788311929578,0.1740268660667589,-0.19105397870013976,10.158121588491433,-0.007016317040925868
4.369999999999951,0.01,0.09423889804956735,0.17526111567672323,-0.13744656154459398,10.1597267673544,-0.006650929796324331,0.7746397949371154,0.4168168361407558,4.458038438161215,0.03083210190655744,0.4102888630691141,2.33360669191543,3.1747655558588894,8.603847795941501,2.1327744271409577,1.5649785626215822,9.543143424987791,0.050788311929578,0.17378446498746267,-0.19745855660697487,10.156258705752633,-0.007343821576920925
4.379999999999951,0.01,0.09346682892735875,0.17505365241674103,-0.1446589347703502,10.157676966783047,-0.007007457814535272,0.7672208254812479,0.4168168361407558,4.453466931660969,0.029375878822387708,0.4105971840881797,2.3650476678164907,3.1825119538082607,8.585581310169749,2.158740734753269,1.5649785626215822,9.55803155899048,0.050788311929578,0.17378446498746267,-0.19745855660697487,10.156258705752633,-0.007343821576920925
4.389999999999951,0.01,0.09269961829676503,0.17489190921359477,-0.1503303372974805,10.156050740423245,-0.007289600477408494,0.7667416642323779,0.4168168361407558,4.460414727528891,0.027988434236592585,0.41089094287640354,2.3965765340954914,3.190184162063073,8.566510977314005,2.184219365767992,1.5649785626215822,9.558451118469238,0.050788311929578,0.17378446498746267,-0.19745855660697487,10.156258705752633,-0.007343821576920925
4.399999999999951,0.01,0.09193781891890383,0.17476579307311896,-0.15474823350716424,10.154761055649484,-0.007512866001490628,0.7622558159335425,0.4168168361407558,4.460610521952311,0.02666651968958525,0.41117082721876946,2.428192963848347,3.197851578705397,8.546647630246143,2.2091828379233136,1.5649785626215822,9.558451118469238,0.050788311929578,0.17378446498746267,-0.19745855660697487,10.156258705752633,-0.007343821576920925
4.40999999999995,0.01,0.09118193377213983,0.174667442333711,-0.15822164494069801,10.153738400463707,-0.007689464187178328,0.7576553659481482,0.4168168361407558,4.460610521952311,0.025407040148938603,0.4114374924156653,2.4598928176879795,3.205474136864732,8.52600268562117,2.2336043803269914,1.5649785626215822,9.558451118469238,0.06169942462867262,0.1722282357177189,-0.23041717204465328,10.145873263104033,-0.00916069159751429
4.41999999999995,0.01,0.09070181870495937,0.17424677685191345,-0.168269256140849,10.150514094701904,-0.008248793444573568,0.7530818310525471,0.4168168361407558,4.460610521952311,0.024207046762907358,0.4116915628171547,2.4916746028942125,3.2130506905242138,8.50458881422424,2.257457106712178,1.5649785626215822,9.558451118469238,0.06169942462867262,0.1722282357177189,-0.23041717204465328,10.145873263104033,-0.00916069159751429
4.42999999999995,0.01,0.09022185469639828,0.17391886731852754,-0.17612395669721406,10.14796168550999,-0.008690460688364795,0.7485358988568581,0.4168168361407558,4.460610521952311,0.023063729956205092,0.4119336332847838,2.523536954915564,3.2205815088347394,8.48241970468003,2.2807143648481794,1.5649785626215822,9.571734428405762,0.06169942462867262,0.1722282357177189,-0.23041717204465328,10.145873263104033,-0.00916069159751429
4.43999999999995,0.01,0.08974259056657422,0.17366325067436267,-0.18227180877804416,10.145941469789332,-0.009039110759171418,0.7477367346527699,0.4168168361407558,4.466809399922689,0.02197441285187421,0.41216427058434585,2.5554785460932585,3.228066867823308,8.45951005076467,2.303349785829095,1.5649785626215822,9.566025524139404,0.06169942462867262,0.1722282357177189,-0.23041717204465328,10.145873263104033,-0.00916069159751429
4.4499999999999496,0.01,0.08926453587063561,0.17346397612339676,-0.18706214167008572,10.144342881395058,-0.009314291500795891,0.741647026065048,0.4168168361407558,4.464145244598388,0.02093654500384487,0.41238401471286457,2.5874980851678506,3.2355442351698356,8.435875546230648,2.3253373224292955,1.5649785626215822,9.573582706451417,0.07189570033615134,0.1705215916458948,-0.2566186267380175,10.136411033298918,-0.01080061640268955
4.459999999999949,0.01,0.08903990053112244,0.1729313972771333,-0.19665144101352144,10.140891920063751,-0.009907921167146708,0.7392766167044955,0.4168168361407558,4.467671929677328,0.01994769642551064,0.41259338016290303,2.61959231148266,3.242960705430486,8.411532602937775,2.3466515374421464,1.5649785626215822,9.552920017242432,0.07189570033615134,0.17002275379207407,-0.2632173199504848,10.133881827230262,-0.01123613008554291
4.469999999999949,0.01,0.08881116860220467,0.17240601285479779,-0.20559581123706164,10.137582050288582,-0.010475487205091942,0.7290411815695893,0.4168168361407558,4.458029341379802,0.019005551900337536,0.41279285712715813,2.651761248523613,3.250353471597531,8.386499009538845,2.3672670319846896,1.5649785626215822,9.552920017242432,0.07189570033615134,0.17002275379207407,-0.2632173199504848,10.133881827230262,-0.01123613008554291
4.479999999999949,0.01,0.08857889577540419,0.171996493710656,-0.21263458125945595,10.134967838446254,-0.010922480540756155,0.7246055218693624,0.4168168361407558,4.458029341379802,0.018107905561189602,0.4129829126461615,2.684002728164768,3.257643883413227,8.360793250781464,2.3871590840593235,1.5649785626215822,9.552920017242432,0.07189570033615134,0.17002275379207407,-0.2632173199504848,10.133881827230262,-0.01123613008554291
4.489999999999949,0.01,0.08834360123541009,0.17167727120323292,-0.21814549779564774,10.13290334885373,-0.011274493773293561,0.7202312747799448,0.4168168361407558,4.458029341379802,0.01725265572567447,0.41316399170177337,2.716319121945457,3.2648899386319203,8.33443540067756,2.4063029631075756,1.5649785626215822,9.555416030883787,0.07189570033615134,0.16832440625266187,-0.28293490551101286,10.125906333040286,-0.012600840915444963
4.4999999999999485,0.01,0.08810577678496963,0.1710530403654921,-0.2268455252568357,10.129438088747065,-0.011863459482519574,0.7165825254683084,0.4168168361407558,4.459194147745768,0.016437799975421025,0.4133365182590301,2.7487090295658163,3.27209225137972,8.307446035409844,2.4246748109619394,1.5649785626215822,9.569228973388672,0.07460085701411323,0.1676834444232221,-0.2894650395324163,10.12311458009188,-0.013075250053638588
4.509999999999948,0.01,0.08793266475032539,0.17042481157639544,-0.2350925711268808,10.126062759836149,-0.012434923414181481,0.7161287617209962,0.4168168361407558,4.46564018758138,0.015661430467765663,0.41350089625878433,2.7811711061293956,3.279258076634403,8.279846666244472,2.442251317777215,1.5649785626215822,9.56318769454956,0.08933763768743042,0.16700640447114565,-0.29598070673793586,10.120264411276196,-0.013557706538508268
4.519999999999948,0.01,0.08812009762220241,0.1697854926954832,-0.2429590223046229,10.122746547819942,-0.012994136765301924,0.7101377084932351,0.4168168361407558,4.462820924123128,0.014921729468871686,0.413657510563462,2.8137036898330714,3.286419364251613,8.251659669078748,2.459009794560522,1.5649785626215822,9.56318769454956,0.08933763768743042,0.16628485372623378,-0.30237579672451886,10.117325050865976,-0.014053213895603168
4.529999999999948,0.01,0.08829569055633306,0.16912768981797258,-0.25054592620835864,10.119458459301176,-0.013546238904293986,0.7058409359229091,0.4168168361407558,4.462820924123128,0.014216965097822165,0.4138067278581507,2.846303483833904,3.293520741336545,8.222908051994754,2.4749283290040003,1.5649785626215822,9.56318769454956,0.08933763768743042,0.16628485372623378,-0.30237579672451886,10.117325050865976,-0.014053213895603168
4.539999999999948,0.01,0.08846007345326867,0.1686149701859826,-0.25648061415978163,10.116867097568408,-0.013979916926414065,0.7015801096719497,0.4168168361407558,4.462820924123128,0.013545487271723028,0.41394889750912894,2.8789707507433095,3.300579150695774,8.193616194840164,2.4899853868771866,1.5649785626215822,9.56318769454956,0.08933763768743042,0.16628485372623378,-0.30237579672451886,10.117325050865976,-0.014053213895603168
4.549999999999947,0.01,0.08861384596515845,0.168215320435372,-0.2611298346402031,10.114825082405279,-0.014320521657878296,0.6973450640564124,0.4168168361407558,4.462820924123128,0.012905723842320943,0.41408435238184615,2.91170462798409,3.3075949517924936,8.163809207210448,2.5041602153221016,1.5649785626215822,9.551866512298584,0.08933763768743042,0.16628485372623378,-0.30237579672451886,10.117325050865976,-0.014053213895603168
4.559999999999947,0.01,0.08875758404723183,0.16790379308613423,-0.26477898152903406,10.113216188960191,-0.014588003342896476,0.6899656523681074,0.4168168361407558,4.457537705739339,0.012296176915093493,0.41421340962026937,2.944504261649631,3.314568402433058,8.133513050913898,2.5174327942036654,1.5649785626215822,9.564874038696288,0.10417240511315562,0.16296531676623396,-0.32727375995544605,10.105047173437988,-0.016098669850766176
4.569999999999947,0.01,0.0892580943171938,0.16692719576541057,-0.2732110094753735,10.109141533739324,-0.015261543070847414,0.6894236893751261,0.4168168361407558,4.463607884724935,0.011715419342189032,0.4143363713894203,2.9773688143059807,3.321468058956739,8.10275451895965,2.52978387032926,1.5649785626215822,9.574233093261718,0.10417240511315562,0.16296531676623396,-0.32727375995544605,10.105047173437988,-0.016098669850766176
